date,region,state,rainfall_mm,temperature_c,humidity_pct,soil_saturation_pct,drought_prone_base,crop_stress_index
2019-01-26,Kochi,Kerala,2.77,23.35,47.02,44.27,0,19.94
2019-01-27,Kochi,Kerala,1.21,27.6,40.26,22.2,0,24.3
2019-01-28,Kochi,Kerala,0.22,27.08,67.74,18.46,0,20.24
2019-01-29,Kochi,Kerala,0.1,25.02,41.49,28.74,0,20.0
2019-01-30,Kochi,Kerala,0.02,25.93,45.74,33.53,0,9.74
2019-01-31,Kochi,Kerala,0.14,27.59,57.09,33.97,0,22.71
2019-02-01,Kochi,Kerala,3.77,25.89,46.64,21.91,0,20.1
2019-02-02,Kochi,Kerala,0.06,24.77,54.77,5.0,0,14.11
2019-02-03,Kochi,Kerala,0.49,27.18,30.73,39.03,0,29.32
2019-02-04,Kochi,Kerala,4.7,27.24,52.42,38.15,0,11.53
2019-02-05,Kochi,Kerala,0.9,26.17,33.57,38.54,0,11.15
2019-02-06,Kochi,Kerala,0.03,24.63,33.62,24.84,0,10.93
2019-02-07,Kochi,Kerala,0.17,23.78,45.5,41.69,0,20.04
2019-02-08,Kochi,Kerala,1.8,21.74,38.27,37.35,0,20.79
2019-02-09,Kochi,Kerala,1.61,26.49,44.86,33.63,0,21.4
2019-02-10,Kochi,Kerala,0.07,23.35,42.0,44.87,0,18.28
2019-02-11,Kochi,Kerala,0.32,26.28,49.73,35.8,0,15.78
2019-02-12,Kochi,Kerala,0.45,23.17,30.19,22.42,0,23.99
2019-02-13,Kochi,Kerala,0.2,26.16,44.11,37.76,0,15.41
2019-02-14,Kochi,Kerala,1.63,24.57,47.17,28.64,0,13.14
2019-02-15,Kochi,Kerala,0.15,24.2,49.0,27.27,0,26.93
2019-02-16,Kochi,Kerala,0.05,27.3,43.74,21.67,0,20.86
2019-02-17,Kochi,Kerala,1.22,23.26,46.14,20.57,0,21.75
2019-02-18,Kochi,Kerala,0.03,23.78,37.77,34.3,0,23.11
2019-02-19,Kochi,Kerala,0.22,27.05,40.35,41.32,0,17.03
2019-02-20,Kochi,Kerala,0.19,24.24,45.66,29.9,0,17.24
2019-02-21,Kochi,Kerala,0.39,27.22,35.3,33.79,0,23.01
2019-02-22,Kochi,Kerala,1.71,23.91,43.05,57.34,0,16.06
2019-02-23,Kochi,Kerala,0.54,24.52,46.44,21.92,0,21.41
2019-02-24,Kochi,Kerala,0.26,27.15,28.35,26.86,0,19.42
2019-02-25,Kochi,Kerala,0.79,21.36,38.65,54.84,0,13.63
2019-02-26,Kochi,Kerala,0.34,25.74,49.33,33.72,0,24.66
2019-02-27,Kochi,Kerala,0.66,27.94,41.47,44.57,0,13.22
2019-02-28,Kochi,Kerala,0.47,24.59,39.41,34.9,0,20.93
2019-03-01,Kochi,Kerala,0.65,23.53,37.14,33.0,0,20.01
2019-03-02,Kochi,Kerala,0.39,27.12,46.83,35.87,0,26.14
2019-03-03,Kochi,Kerala,0.94,24.33,36.64,30.04,0,13.93
2019-03-04,Kochi,Kerala,4.82,26.54,32.16,33.18,0,14.87
2019-03-05,Kochi,Kerala,1.07,25.95,46.66,6.75,0,18.96
2019-03-06,Kochi,Kerala,1.67,25.13,45.63,47.45,0,20.07
2019-03-07,Kochi,Kerala,0.01,25.68,50.25,32.42,0,24.34
2019-03-08,Kochi,Kerala,0.83,27.34,49.85,35.14,0,21.14
2019-03-09,Kochi,Kerala,1.55,25.38,33.49,38.37,0,19.35
2019-03-10,Kochi,Kerala,0.0,25.73,47.52,24.67,0,25.14
2019-03-11,Kochi,Kerala,0.35,26.12,28.26,27.18,0,30.31
2019-03-12,Kochi,Kerala,0.34,27.84,60.17,31.99,0,13.05
2019-03-13,Kochi,Kerala,0.43,29.63,42.36,47.02,0,19.76
2019-03-14,Kochi,Kerala,1.13,26.44,30.21,30.73,0,23.23
2019-03-15,Kochi,Kerala,0.32,26.21,23.23,38.1,0,20.27
2019-03-16,Kochi,Kerala,0.09,27.64,47.11,33.95,0,27.13
2019-03-17,Kochi,Kerala,1.32,26.38,40.27,26.27,0,17.67
2019-03-18,Kochi,Kerala,0.7,28.63,25.74,22.29,0,14.58
2019-03-19,Kochi,Kerala,0.71,26.9,35.5,30.0,0,24.0
2019-03-20,Kochi,Kerala,0.0,25.79,43.65,27.89,0,6.14
2019-03-21,Kochi,Kerala,2.78,29.1,25.5,17.25,0,16.23
2019-03-22,Kochi,Kerala,0.01,28.15,44.22,35.5,0,31.83
2019-03-23,Kochi,Kerala,0.01,24.18,51.76,41.88,0,20.13
2019-03-24,Kochi,Kerala,1.06,27.06,36.6,30.96,0,21.26
2019-03-25,Kochi,Kerala,0.38,28.97,48.87,34.73,0,15.05
2019-03-26,Kochi,Kerala,0.01,27.88,39.3,17.21,0,19.88
2019-03-27,Kochi,Kerala,0.08,28.42,44.23,17.04,0,19.25
2019-03-28,Kochi,Kerala,0.07,27.96,42.13,19.23,0,29.26
2019-03-29,Kochi,Kerala,1.26,27.77,51.72,41.6,0,14.32
2019-03-30,Kochi,Kerala,0.44,29.96,52.55,29.03,0,5.97
2019-03-31,Kochi,Kerala,2.22,27.34,38.73,34.89,0,20.92
2019-04-01,Kochi,Kerala,0.16,26.42,28.32,11.51,0,27.67
2019-04-02,Kochi,Kerala,2.33,30.57,36.23,28.07,0,17.67
2019-04-03,Kochi,Kerala,2.46,31.16,45.53,49.5,0,14.29
2019-04-04,Kochi,Kerala,1.28,29.82,42.36,26.13,0,14.0
2019-04-05,Kochi,Kerala,0.14,25.53,50.58,20.29,0,22.1
2019-04-06,Kochi,Kerala,0.2,27.89,40.57,29.69,0,17.09
2019-04-07,Kochi,Kerala,0.92,28.55,43.48,29.7,0,19.75
2019-04-08,Kochi,Kerala,0.11,27.99,25.24,13.04,0,8.16
2019-04-09,Kochi,Kerala,0.14,27.68,38.35,34.9,0,17.33
2019-04-10,Kochi,Kerala,0.21,31.85,43.45,17.4,0,31.24
2019-04-11,Kochi,Kerala,0.77,30.31,54.51,44.98,0,19.53
2019-04-12,Kochi,Kerala,7.53,28.04,43.92,54.85,0,11.11
2019-04-13,Kochi,Kerala,0.09,29.42,49.97,18.56,0,25.21
2019-04-14,Kochi,Kerala,0.43,30.82,47.56,26.79,0,28.0
2019-04-15,Kochi,Kerala,0.83,29.8,35.95,23.54,0,17.26
2019-04-16,Kochi,Kerala,3.07,29.34,37.23,31.36,0,14.76
2019-04-17,Kochi,Kerala,0.12,29.55,50.18,20.1,0,26.33
2019-04-18,Kochi,Kerala,0.84,26.98,47.09,38.03,0,16.83
2019-04-19,Kochi,Kerala,2.52,28.88,41.39,40.72,0,17.92
2019-04-20,Kochi,Kerala,1.19,29.58,46.3,39.19,0,28.41
2019-04-21,Kochi,Kerala,0.09,30.46,42.25,37.64,0,22.73
2019-04-22,Kochi,Kerala,4.32,27.98,45.67,30.72,0,15.36
2019-04-23,Kochi,Kerala,0.2,26.41,42.33,8.36,0,10.02
2019-04-24,Kochi,Kerala,0.62,30.36,41.03,30.49,0,21.31
2019-04-25,Kochi,Kerala,0.44,30.74,46.07,22.73,0,22.31
2019-04-26,Kochi,Kerala,12.28,29.44,46.13,64.28,0,10.74
2019-04-27,Kochi,Kerala,0.3,29.57,56.88,25.68,0,24.48
2019-04-28,Kochi,Kerala,3.13,29.74,43.67,21.36,0,11.98
2019-04-29,Kochi,Kerala,0.69,29.04,56.73,32.99,0,11.74
2019-04-30,Kochi,Kerala,1.77,27.66,50.48,28.65,0,15.17
2019-05-01,Kochi,Kerala,3.61,31.89,57.29,39.03,0,25.48
2019-05-02,Kochi,Kerala,5.82,32.03,54.97,49.53,0,17.56
2019-05-03,Kochi,Kerala,7.56,29.59,51.07,26.16,0,10.18
2019-05-04,Kochi,Kerala,0.02,32.84,47.46,27.57,0,26.96
2019-05-05,Kochi,Kerala,0.09,32.16,48.74,30.44,0,28.14
2019-05-06,Kochi,Kerala,0.36,30.3,53.77,35.02,0,17.17
2019-05-07,Kochi,Kerala,2.67,30.5,48.26,46.87,0,25.2
2019-05-08,Kochi,Kerala,0.57,28.9,41.36,55.03,0,8.27
2019-05-09,Kochi,Kerala,1.39,28.93,47.57,15.11,0,20.91
2019-05-10,Kochi,Kerala,0.66,29.27,53.31,30.42,0,16.26
2019-05-11,Kochi,Kerala,8.1,32.03,46.2,43.98,0,25.94
2019-05-12,Kochi,Kerala,0.35,28.58,44.36,34.48,0,29.24
2019-05-13,Kochi,Kerala,0.04,31.05,55.34,25.14,0,23.36
2019-05-14,Kochi,Kerala,0.12,28.86,58.85,29.65,0,20.46
2019-05-15,Kochi,Kerala,0.99,29.83,52.73,36.45,0,23.21
2019-05-16,Kochi,Kerala,0.97,30.77,52.81,36.96,0,15.49
2019-05-17,Kochi,Kerala,1.02,30.87,44.95,12.74,0,25.81
2019-05-18,Kochi,Kerala,1.26,29.72,43.22,38.76,0,22.98
2019-05-19,Kochi,Kerala,0.94,30.18,47.85,29.59,0,19.11
2019-05-20,Kochi,Kerala,0.03,30.32,51.23,23.79,0,24.07
2019-05-21,Kochi,Kerala,0.01,27.67,32.14,37.97,0,20.18
2019-05-22,Kochi,Kerala,0.87,31.21,44.74,26.75,0,20.13
2019-05-23,Kochi,Kerala,6.6,29.54,48.68,14.44,0,9.67
2019-05-24,Kochi,Kerala,2.23,26.86,45.47,19.98,0,23.33
2019-05-25,Kochi,Kerala,1.59,32.84,42.17,25.67,0,39.01
2019-05-26,Kochi,Kerala,1.6,30.9,54.19,12.5,0,18.42
2019-05-27,Kochi,Kerala,2.65,30.8,41.87,36.4,0,23.27
2019-05-28,Kochi,Kerala,0.02,32.52,47.38,27.49,0,23.55
2019-05-29,Kochi,Kerala,0.2,30.41,44.97,27.62,0,18.75
2019-05-30,Kochi,Kerala,0.28,29.51,58.88,42.68,0,16.94
2019-05-31,Kochi,Kerala,12.22,31.77,52.7,41.55,0,14.84
2019-06-01,Kochi,Kerala,3.59,28.62,64.75,45.36,0,17.4
2019-06-02,Kochi,Kerala,0.6,34.07,68.82,28.66,0,40.51
2019-06-03,Kochi,Kerala,0.58,30.43,69.56,33.02,0,23.81
2019-06-04,Kochi,Kerala,6.76,33.21,74.94,26.88,0,26.46
2019-06-05,Kochi,Kerala,12.66,31.92,75.21,41.94,0,28.05
2019-06-06,Kochi,Kerala,0.68,29.96,57.05,14.19,0,20.35
2019-06-07,Kochi,Kerala,4.05,30.38,66.88,19.33,0,28.1
2019-06-08,Kochi,Kerala,3.78,30.5,61.4,38.12,0,13.18
2019-06-09,Kochi,Kerala,19.26,34.08,66.86,55.04,0,41.39
2019-06-10,Kochi,Kerala,4.37,29.38,52.58,15.82,0,16.55
2019-06-11,Kochi,Kerala,24.26,34.58,52.34,45.5,0,19.9
2019-06-12,Kochi,Kerala,12.1,30.23,71.02,25.95,0,9.16
2019-06-13,Kochi,Kerala,5.2,30.93,55.17,37.39,0,25.41
2019-06-14,Kochi,Kerala,1.23,31.96,62.31,35.97,0,31.38
2019-06-15,Kochi,Kerala,0.44,32.82,48.02,13.53,0,34.75
2019-06-16,Kochi,Kerala,20.49,31.2,60.6,57.18,0,17.23
2019-06-17,Kochi,Kerala,2.94,32.96,54.68,52.44,0,24.37
2019-06-18,Kochi,Kerala,21.19,32.75,65.9,45.9,0,19.32
2019-06-19,Kochi,Kerala,1.73,29.15,58.21,25.57,0,7.21
2019-06-20,Kochi,Kerala,0.72,31.28,60.86,31.98,0,20.03
2019-06-21,Kochi,Kerala,3.23,31.54,62.24,36.0,0,27.55
2019-06-22,Kochi,Kerala,5.64,33.28,62.78,40.01,0,20.56
2019-06-23,Kochi,Kerala,0.82,30.82,52.91,16.55,0,34.41
2019-06-24,Kochi,Kerala,2.9,31.41,73.06,44.96,0,30.2
2019-06-25,Kochi,Kerala,14.21,30.92,66.31,38.84,0,10.53
2019-06-26,Kochi,Kerala,1.09,31.97,57.92,36.65,0,30.65
2019-06-27,Kochi,Kerala,18.71,33.87,67.0,55.75,0,28.6
2019-06-28,Kochi,Kerala,13.24,28.83,71.79,40.68,0,12.39
2019-06-29,Kochi,Kerala,0.37,31.55,63.05,41.99,0,28.67
2019-06-30,Kochi,Kerala,10.91,31.1,51.46,42.61,0,17.32
2019-07-01,Kochi,Kerala,3.46,34.14,85.53,25.81,0,34.61
2019-07-02,Kochi,Kerala,3.98,31.64,79.6,30.91,0,27.05
2019-07-03,Kochi,Kerala,0.04,29.88,71.7,42.32,0,22.13
2019-07-04,Kochi,Kerala,4.22,30.61,63.42,19.56,0,21.79
2019-07-05,Kochi,Kerala,1.9,31.7,66.98,26.59,0,27.41
2019-07-06,Kochi,Kerala,5.25,32.91,74.69,28.39,0,33.71
2019-07-07,Kochi,Kerala,38.46,30.57,80.85,47.38,0,6.87
2019-07-08,Kochi,Kerala,0.26,29.93,71.77,30.94,0,13.84
2019-07-09,Kochi,Kerala,14.81,32.69,65.05,39.95,0,19.48
2019-07-10,Kochi,Kerala,26.76,32.31,69.8,45.64,0,23.1
2019-07-11,Kochi,Kerala,40.38,30.43,84.79,68.59,0,9.48
2019-07-12,Kochi,Kerala,13.69,30.31,67.54,30.43,0,17.13
2019-07-13,Kochi,Kerala,16.81,30.76,72.39,44.17,0,13.22
2019-07-14,Kochi,Kerala,6.21,29.52,87.7,43.06,0,21.78
2019-07-15,Kochi,Kerala,5.65,28.79,78.41,44.68,0,20.56
2019-07-16,Kochi,Kerala,16.15,30.66,74.82,37.28,0,6.81
2019-07-17,Kochi,Kerala,4.51,28.24,79.82,33.6,0,18.08
2019-07-18,Kochi,Kerala,2.46,31.35,72.3,38.61,0,17.16
2019-07-19,Kochi,Kerala,48.46,32.03,68.96,75.51,0,5.82
2019-07-20,Kochi,Kerala,21.55,29.35,79.32,53.03,0,9.38
2019-07-21,Kochi,Kerala,3.16,31.01,83.03,17.56,0,31.06
2019-07-22,Kochi,Kerala,0.03,30.0,77.85,27.03,0,9.4
2019-07-23,Kochi,Kerala,27.74,28.83,81.24,41.35,0,4.35
2019-07-24,Kochi,Kerala,1.12,30.34,77.88,39.61,0,24.21
2019-07-25,Kochi,Kerala,6.26,33.57,87.4,18.75,0,35.21
2019-07-26,Kochi,Kerala,5.03,29.22,77.6,18.41,0,21.74
2019-07-27,Kochi,Kerala,1.62,31.46,72.4,20.54,0,20.06
2019-07-28,Kochi,Kerala,45.33,30.79,77.18,61.56,0,2.51
2019-07-29,Kochi,Kerala,27.89,26.13,71.07,62.56,0,3.74
2019-07-30,Kochi,Kerala,27.77,30.57,66.46,46.38,0,14.95
2019-07-31,Kochi,Kerala,5.56,32.55,65.2,50.49,0,26.73
2019-08-01,Kochi,Kerala,12.52,30.0,58.58,32.49,0,13.83
2019-08-02,Kochi,Kerala,2.23,29.54,74.72,21.54,0,19.84
2019-08-03,Kochi,Kerala,31.37,30.07,71.11,47.75,0,0.0
2019-08-04,Kochi,Kerala,4.17,29.97,73.84,50.3,0,20.5
2019-08-05,Kochi,Kerala,1.77,30.64,68.52,31.73,0,16.15
2019-08-06,Kochi,Kerala,3.07,28.3,76.13,37.91,0,19.38
2019-08-07,Kochi,Kerala,18.78,29.49,90.71,40.5,0,8.7
2019-08-08,Kochi,Kerala,4.87,31.18,62.88,51.66,0,28.28
2019-08-09,Kochi,Kerala,5.97,31.06,76.81,34.92,0,21.44
2019-08-10,Kochi,Kerala,26.37,29.42,83.47,46.16,0,16.47
2019-08-11,Kochi,Kerala,11.88,28.59,75.36,48.73,0,2.89
2019-08-12,Kochi,Kerala,25.96,30.78,73.82,39.54,0,17.0
2019-08-13,Kochi,Kerala,15.69,30.85,69.06,24.45,0,19.85
2019-08-14,Kochi,Kerala,0.88,29.46,71.62,40.35,0,21.02
2019-08-15,Kochi,Kerala,0.44,29.48,73.45,17.49,0,30.82
2019-08-16,Kochi,Kerala,1.26,31.35,79.22,30.05,0,17.63
2019-08-17,Kochi,Kerala,24.82,30.99,73.76,57.7,0,12.61
2019-08-18,Kochi,Kerala,17.35,28.63,79.17,41.08,0,17.56
2019-08-19,Kochi,Kerala,2.11,30.39,80.29,33.68,0,23.54
2019-08-20,Kochi,Kerala,33.15,30.42,73.35,48.43,0,3.21
2019-08-21,Kochi,Kerala,7.59,31.13,73.78,59.45,0,23.96
2019-08-22,Kochi,Kerala,21.73,29.32,70.34,74.42,0,7.06
2019-08-23,Kochi,Kerala,21.48,29.6,72.49,54.5,0,7.56
2019-08-24,Kochi,Kerala,2.75,30.36,67.05,26.99,0,16.75
2019-08-25,Kochi,Kerala,0.31,26.72,67.09,24.09,0,25.12
2019-08-26,Kochi,Kerala,34.19,29.94,77.06,63.38,0,4.47
2019-08-27,Kochi,Kerala,52.2,29.18,72.03,67.08,0,12.58
2019-08-28,Kochi,Kerala,3.43,29.35,58.15,30.94,0,22.52
2019-08-29,Kochi,Kerala,17.49,29.94,81.65,41.05,0,3.84
2019-08-30,Kochi,Kerala,12.79,30.91,87.23,31.57,0,21.93
2019-08-31,Kochi,Kerala,28.53,27.75,73.69,44.88,0,0.29
2019-09-01,Kochi,Kerala,17.24,29.57,52.38,30.93,0,10.0
2019-09-02,Kochi,Kerala,10.76,28.32,70.84,30.55,0,15.33
2019-09-03,Kochi,Kerala,9.22,28.63,70.33,27.01,0,9.94
2019-09-04,Kochi,Kerala,1.76,29.01,69.68,36.92,0,16.59
2019-09-05,Kochi,Kerala,2.02,29.49,59.29,13.15,0,15.62
2019-09-06,Kochi,Kerala,0.17,23.91,50.78,49.0,0,20.62
2019-09-07,Kochi,Kerala,14.43,29.13,63.9,48.52,0,12.42
2019-09-08,Kochi,Kerala,0.13,27.74,70.32,39.38,0,19.41
2019-09-09,Kochi,Kerala,0.1,24.16,57.52,33.77,0,28.48
2019-09-10,Kochi,Kerala,0.49,28.66,71.95,30.95,0,22.47
2019-09-11,Kochi,Kerala,2.16,28.8,71.06,43.13,0,21.08
2019-09-12,Kochi,Kerala,5.56,29.61,53.78,18.92,0,22.71
2019-09-13,Kochi,Kerala,10.03,30.26,59.48,17.47,0,25.34
2019-09-14,Kochi,Kerala,4.64,28.9,60.7,35.69,0,24.67
2019-09-15,Kochi,Kerala,1.81,30.26,53.02,27.93,0,14.86
2019-09-16,Kochi,Kerala,0.77,30.22,58.16,6.23,0,23.14
2019-09-17,Kochi,Kerala,14.53,25.46,56.86,48.47,0,16.6
2019-09-18,Kochi,Kerala,10.38,28.16,53.9,26.71,0,19.63
2019-09-19,Kochi,Kerala,6.91,28.05,55.42,26.86,0,15.84
2019-09-20,Kochi,Kerala,7.53,29.92,47.38,21.61,0,16.59
2019-09-21,Kochi,Kerala,3.02,24.7,58.75,47.91,0,14.06
2019-09-22,Kochi,Kerala,31.35,30.15,48.82,65.35,0,3.08
2019-09-23,Kochi,Kerala,0.29,25.88,63.21,40.19,0,14.02
2019-09-24,Kochi,Kerala,0.87,31.19,57.99,26.11,0,30.7
2019-09-25,Kochi,Kerala,30.23,26.6,61.72,64.14,0,2.29
2019-09-26,Kochi,Kerala,15.17,25.36,55.38,34.4,0,7.75
2019-09-27,Kochi,Kerala,24.19,25.71,61.29,29.03,0,9.38
2019-09-28,Kochi,Kerala,5.22,26.95,60.2,33.03,0,17.92
2019-09-29,Kochi,Kerala,1.72,28.58,78.69,30.15,0,15.71
2019-09-30,Kochi,Kerala,1.24,27.6,70.74,40.18,0,21.26
2019-10-01,Kochi,Kerala,0.02,27.13,54.69,31.26,0,16.86
2019-10-02,Kochi,Kerala,2.34,29.41,46.54,13.87,0,21.38
2019-10-03,Kochi,Kerala,1.21,27.04,49.41,29.22,0,19.26
2019-10-04,Kochi,Kerala,12.12,27.21,45.69,47.57,0,15.03
2019-10-05,Kochi,Kerala,0.4,24.02,47.38,25.98,0,17.89
2019-10-06,Kochi,Kerala,0.3,28.7,51.12,30.7,0,16.5
2019-10-07,Kochi,Kerala,1.08,23.69,52.0,53.59,0,20.74
2019-10-08,Kochi,Kerala,1.59,24.89,58.38,45.0,0,11.35
2019-10-09,Kochi,Kerala,6.87,26.39,59.53,38.59,0,23.49
2019-10-10,Kochi,Kerala,5.32,24.97,58.15,37.12,0,15.06
2019-10-11,Kochi,Kerala,0.97,27.91,41.07,20.85,0,29.9
2019-10-12,Kochi,Kerala,2.29,25.49,33.4,25.04,0,22.21
2019-10-13,Kochi,Kerala,0.75,28.32,49.94,25.08,0,19.16
2019-10-14,Kochi,Kerala,0.46,24.47,47.8,30.42,0,16.76
2019-10-15,Kochi,Kerala,7.19,26.77,47.55,26.06,0,19.0
2019-10-16,Kochi,Kerala,0.24,29.41,39.79,11.21,0,22.19
2019-10-17,Kochi,Kerala,0.0,25.49,51.85,19.92,0,22.16
2019-10-18,Kochi,Kerala,0.16,25.29,48.09,23.57,0,24.12
2019-10-19,Kochi,Kerala,0.26,27.98,52.32,12.48,0,20.47
2019-10-20,Kochi,Kerala,4.59,25.79,34.2,31.28,0,23.43
2019-10-21,Kochi,Kerala,7.7,27.61,55.88,41.11,0,12.31
2019-10-22,Kochi,Kerala,12.4,25.19,51.45,11.3,0,12.78
2019-10-23,Kochi,Kerala,4.04,25.18,48.79,34.38,0,21.08
2019-10-24,Kochi,Kerala,0.79,25.61,43.57,26.93,0,15.7
2019-10-25,Kochi,Kerala,3.8,25.24,45.03,23.6,0,18.32
2019-10-26,Kochi,Kerala,2.13,22.56,56.41,43.31,0,26.61
2019-10-27,Kochi,Kerala,0.02,22.74,49.16,40.81,0,20.52
2019-10-28,Kochi,Kerala,0.03,22.69,43.98,38.92,0,17.64
2019-10-29,Kochi,Kerala,1.21,26.51,52.86,28.52,0,25.04
2019-10-30,Kochi,Kerala,4.68,23.49,60.29,27.13,0,11.98
2019-10-31,Kochi,Kerala,0.89,24.08,44.65,45.51,0,17.9
2019-11-01,Kochi,Kerala,1.79,25.74,41.69,37.16,0,24.43
2019-11-02,Kochi,Kerala,0.83,25.01,57.56,11.51,0,15.73
2019-11-03,Kochi,Kerala,0.45,24.8,39.47,15.73,0,21.06
2019-11-04,Kochi,Kerala,0.0,23.2,43.82,28.84,0,19.65
2019-11-05,Kochi,Kerala,0.04,23.2,47.7,28.95,0,27.82
2019-11-06,Kochi,Kerala,1.19,25.52,49.6,24.31,0,12.3
2019-11-07,Kochi,Kerala,0.2,24.96,37.17,45.91,0,17.19
2019-11-08,Kochi,Kerala,0.95,23.38,68.23,19.9,0,17.9
2019-11-09,Kochi,Kerala,1.28,23.49,35.16,12.07,0,21.23
2019-11-10,Kochi,Kerala,0.11,24.92,50.9,37.61,0,22.7
2019-11-11,Kochi,Kerala,0.09,23.92,37.21,34.28,0,22.07
2019-11-12,Kochi,Kerala,0.96,23.08,50.22,25.16,0,26.62
2019-11-13,Kochi,Kerala,0.07,24.36,34.16,35.49,0,23.32
2019-11-14,Kochi,Kerala,0.24,26.65,58.4,20.0,0,13.48
2019-11-15,Kochi,Kerala,2.17,25.59,50.16,34.5,0,11.69
2019-11-16,Kochi,Kerala,0.04,23.07,21.83,12.36,0,17.29
2019-11-17,Kochi,Kerala,0.03,23.73,42.69,32.3,0,17.36
2019-11-18,Kochi,Kerala,0.04,23.69,23.62,8.75,0,17.8
2019-11-19,Kochi,Kerala,3.07,24.05,46.19,25.09,0,23.71
2019-11-20,Kochi,Kerala,0.12,24.01,39.08,31.29,0,16.78
2019-11-21,Kochi,Kerala,0.2,26.34,42.19,32.75,0,25.45
2019-11-22,Kochi,Kerala,0.23,24.95,56.77,29.59,0,25.63
2019-11-23,Kochi,Kerala,1.67,23.46,53.74,38.21,0,19.32
2019-11-24,Kochi,Kerala,1.03,23.52,49.67,54.42,0,16.88
2019-11-25,Kochi,Kerala,0.15,25.48,46.78,9.67,0,26.37
2019-11-26,Kochi,Kerala,0.43,23.05,49.64,16.76,0,15.56
2019-11-27,Kochi,Kerala,0.33,25.48,47.64,31.65,0,22.23
2019-11-28,Kochi,Kerala,1.12,23.07,45.36,27.16,0,20.8
2019-11-29,Kochi,Kerala,0.13,22.43,43.14,25.59,0,26.42
2019-11-30,Kochi,Kerala,0.01,24.06,63.52,31.71,0,21.79
2019-12-01,Kochi,Kerala,2.58,21.38,49.92,44.74,0,18.82
2019-12-02,Kochi,Kerala,0.06,22.05,45.59,24.83,0,25.25
2019-12-03,Kochi,Kerala,0.08,25.55,38.43,39.44,0,18.06
2019-12-04,Kochi,Kerala,1.31,24.56,35.62,25.82,0,22.16
2019-12-05,Kochi,Kerala,5.23,21.71,37.25,36.54,0,18.05
2019-12-06,Kochi,Kerala,0.26,23.4,37.16,17.72,0,20.04
2019-12-07,Kochi,Kerala,0.09,23.55,47.05,22.81,0,12.54
2019-12-08,Kochi,Kerala,0.02,21.91,53.88,40.67,0,19.97
2019-12-09,Kochi,Kerala,0.0,22.99,46.73,38.36,0,14.95
2019-12-10,Kochi,Kerala,1.19,22.41,65.12,28.32,0,22.06
2019-12-11,Kochi,Kerala,0.25,22.59,46.47,21.44,0,31.72
2019-12-12,Kochi,Kerala,0.35,23.61,49.96,12.67,0,18.69
2019-12-13,Kochi,Kerala,2.3,22.47,48.27,38.74,0,23.43
2019-12-14,Kochi,Kerala,0.34,22.3,44.44,18.46,0,24.87
2019-12-15,Kochi,Kerala,1.52,22.66,53.06,28.16,0,13.48
2019-12-16,Kochi,Kerala,0.24,22.69,44.08,29.58,0,23.42
2019-12-17,Kochi,Kerala,1.59,26.86,51.76,45.54,0,17.63
2019-12-18,Kochi,Kerala,5.51,23.41,48.67,19.88,0,15.05
2019-12-19,Kochi,Kerala,5.23,25.15,49.68,43.27,0,21.49
2019-12-20,Kochi,Kerala,0.0,24.01,37.0,16.5,0,17.22
2019-12-21,Kochi,Kerala,0.17,22.94,46.49,23.66,0,17.37
2019-12-22,Kochi,Kerala,0.26,25.92,39.83,34.16,0,23.66
