date,region,state,rainfall_mm,temperature_c,humidity_pct,water_storage_pct,pop_density_per_km2,drought_prone_base,water_stress_event
2019-02-03,Kochi,Kerala,0.49,27.18,30.73,33.94,3382.940339675443,0,1
2019-02-04,Kochi,Kerala,4.7,27.24,52.42,71.56,3396.2001662628522,0,1
2019-02-05,Kochi,Kerala,0.9,26.17,33.57,70.02,4137.22615517638,0,1
2019-02-06,Kochi,Kerala,0.03,24.63,33.62,41.02,3145.1989217458604,0,0
2019-02-07,Kochi,Kerala,0.17,23.78,45.5,61.09,3525.211750631402,0,1
2019-02-08,Kochi,Kerala,1.8,21.74,38.27,62.37,3796.304395045191,0,0
2019-02-09,Kochi,Kerala,1.61,26.49,44.86,52.05,3446.617113641674,0,0
2019-02-10,Kochi,Kerala,0.07,23.35,42.0,59.05,3795.534816669862,0,1
2019-02-11,Kochi,Kerala,0.32,26.28,49.73,14.93,4061.4890265309996,0,1
2019-02-12,Kochi,Kerala,0.45,23.17,30.19,60.53,3005.5319406376716,0,1
2019-02-13,Kochi,Kerala,0.2,26.16,44.11,40.91,3437.1360051589895,0,0
2019-02-14,Kochi,Kerala,1.63,24.57,47.17,15.14,3046.2346851738334,0,1
2019-02-15,Kochi,Kerala,0.15,24.2,49.0,81.55,3475.801722845851,0,0
2019-02-16,Kochi,Kerala,0.05,27.3,43.74,37.24,3374.6941591739496,0,1
2019-02-17,Kochi,Kerala,1.22,23.26,46.14,18.38,3824.9039470489697,0,1
2019-02-18,Kochi,Kerala,0.03,23.78,37.77,62.24,3962.2315794348588,0,1
2019-02-19,Kochi,Kerala,0.22,27.05,40.35,61.98,4182.854396044205,0,0
2019-02-20,Kochi,Kerala,0.19,24.24,45.66,23.21,2774.455797403048,0,0
2019-02-21,Kochi,Kerala,0.39,27.22,35.3,58.71,3716.709890941388,0,1
2019-02-22,Kochi,Kerala,1.71,23.91,43.05,56.83,3703.2719833654287,0,0
2019-02-23,Kochi,Kerala,0.54,24.52,46.44,62.33,3399.812943255508,0,0
2019-02-24,Kochi,Kerala,0.26,27.15,28.35,82.28,3813.3147436900904,0,1
2019-02-25,Kochi,Kerala,0.79,21.36,38.65,64.3,2953.664576451945,0,0
2019-02-26,Kochi,Kerala,0.34,25.74,49.33,72.96,4070.1279316683967,0,1
2019-02-27,Kochi,Kerala,0.66,27.94,41.47,57.63,3590.380088162943,0,0
2019-02-28,Kochi,Kerala,0.47,24.59,39.41,44.22,3901.734431256747,0,1
2019-03-01,Kochi,Kerala,0.65,23.53,37.14,51.82,3571.1858842169804,0,0
2019-03-02,Kochi,Kerala,0.39,27.12,46.83,53.26,3392.5208735828983,0,1
2019-03-03,Kochi,Kerala,0.94,24.33,36.64,39.69,3815.064597406987,0,1
2019-03-04,Kochi,Kerala,4.82,26.54,32.16,58.8,2990.8121301597735,0,0
2019-03-05,Kochi,Kerala,1.07,25.95,46.66,33.56,3750.038768920731,0,1
2019-03-06,Kochi,Kerala,1.67,25.13,45.63,91.43,2921.8842981372563,0,1
2019-03-07,Kochi,Kerala,0.01,25.68,50.25,43.45,3946.0565259294335,0,1
2019-03-08,Kochi,Kerala,0.83,27.34,49.85,34.31,3582.346639055892,0,1
2019-03-09,Kochi,Kerala,1.55,25.38,33.49,84.02,3345.77165245059,0,1
2019-03-10,Kochi,Kerala,0.0,25.73,47.52,34.19,2655.5268841746783,0,1
2019-03-11,Kochi,Kerala,0.35,26.12,28.26,32.73,3702.846399866767,0,1
2019-03-12,Kochi,Kerala,0.34,27.84,60.17,67.31,2894.264938072474,0,1
2019-03-13,Kochi,Kerala,0.43,29.63,42.36,61.39,3195.833463247326,0,1
2019-03-14,Kochi,Kerala,1.13,26.44,30.21,53.37,2903.021724394569,0,1
2019-03-15,Kochi,Kerala,0.32,26.21,23.23,28.66,3792.532763710018,0,0
2019-03-16,Kochi,Kerala,0.09,27.64,47.11,67.5,3938.103752997818,0,0
2019-03-17,Kochi,Kerala,1.32,26.38,40.27,45.82,3351.329195272418,0,0
2019-03-18,Kochi,Kerala,0.7,28.63,25.74,35.73,3179.695359453926,0,1
2019-03-19,Kochi,Kerala,0.71,26.9,35.5,36.79,3695.492135745978,0,1
2019-03-20,Kochi,Kerala,0.0,25.79,43.65,68.71,3377.1666662237076,0,0
2019-03-21,Kochi,Kerala,2.78,29.1,25.5,60.65,3768.5610341614297,0,1
2019-03-22,Kochi,Kerala,0.01,28.15,44.22,58.16,3772.2185861797234,0,0
2019-03-23,Kochi,Kerala,0.01,24.18,51.76,56.98,3825.7933792226854,0,1
2019-03-24,Kochi,Kerala,1.06,27.06,36.6,95.98,4124.8089407252455,0,0
2019-03-25,Kochi,Kerala,0.38,28.97,48.87,69.8,3722.917199180273,0,1
2019-03-26,Kochi,Kerala,0.01,27.88,39.3,82.18,3589.3246958995564,0,1
2019-03-27,Kochi,Kerala,0.08,28.42,44.23,90.95,3812.974664979693,0,1
2019-03-28,Kochi,Kerala,0.07,27.96,42.13,29.99,3678.9276350916375,0,1
2019-03-29,Kochi,Kerala,1.26,27.77,51.72,38.1,3120.705410424679,0,0
2019-03-30,Kochi,Kerala,0.44,29.96,52.55,59.34,3429.2708641137087,0,0
2019-03-31,Kochi,Kerala,2.22,27.34,38.73,60.46,3101.199849617949,0,1
2019-04-01,Kochi,Kerala,0.16,26.42,28.32,52.65,3924.966440124976,0,1
2019-04-02,Kochi,Kerala,2.33,30.57,36.23,48.47,3999.6198492895765,0,1
2019-04-03,Kochi,Kerala,2.46,31.16,45.53,62.31,4612.598787778637,0,1
2019-04-04,Kochi,Kerala,1.28,29.82,42.36,60.57,3504.894827652852,0,1
2019-04-05,Kochi,Kerala,0.14,25.53,50.58,56.68,3257.272842399702,0,0
2019-04-06,Kochi,Kerala,0.2,27.89,40.57,69.49,3522.050828917145,0,1
2019-04-07,Kochi,Kerala,0.92,28.55,43.48,73.95,3111.1132846788546,0,1
2019-04-08,Kochi,Kerala,0.11,27.99,25.24,46.83,3513.5033930433206,0,0
2019-04-09,Kochi,Kerala,0.14,27.68,38.35,57.05,3448.3951285286416,0,1
2019-04-10,Kochi,Kerala,0.21,31.85,43.45,39.96,3638.9616550054216,0,0
2019-04-11,Kochi,Kerala,0.77,30.31,54.51,17.38,3388.732707980038,0,1
2019-04-12,Kochi,Kerala,7.53,28.04,43.92,50.35,3526.499650784892,0,1
2019-04-13,Kochi,Kerala,0.09,29.42,49.97,72.32,3574.0634064782676,0,0
2019-04-14,Kochi,Kerala,0.43,30.82,47.56,62.66,2223.0555111748254,0,0
2019-04-15,Kochi,Kerala,0.83,29.8,35.95,99.86,3499.3280513882787,0,1
2019-04-16,Kochi,Kerala,3.07,29.34,37.23,49.88,3240.232767100897,0,1
2019-04-17,Kochi,Kerala,0.12,29.55,50.18,46.75,3004.105267591094,0,1
2019-04-18,Kochi,Kerala,0.84,26.98,47.09,26.91,3615.8640542486687,0,1
2019-04-19,Kochi,Kerala,2.52,28.88,41.39,81.3,3461.593036429436,0,0
2019-04-20,Kochi,Kerala,1.19,29.58,46.3,46.71,3721.8686322068097,0,1
2019-04-21,Kochi,Kerala,0.09,30.46,42.25,83.85,3324.7393396850794,0,0
2019-04-22,Kochi,Kerala,4.32,27.98,45.67,61.8,3610.6167547255004,0,0
2019-04-23,Kochi,Kerala,0.2,26.41,42.33,75.91,3915.672037452392,0,1
2019-04-24,Kochi,Kerala,0.62,30.36,41.03,71.11,3737.090479042306,0,1
2019-04-25,Kochi,Kerala,0.44,30.74,46.07,65.85,3165.5311914095105,0,1
2019-04-26,Kochi,Kerala,12.28,29.44,46.13,58.0,3643.910171305587,0,1
2019-04-27,Kochi,Kerala,0.3,29.57,56.88,53.79,3124.813106698423,0,0
2019-04-28,Kochi,Kerala,3.13,29.74,43.67,36.74,3579.3751161381974,0,1
2019-04-29,Kochi,Kerala,0.69,29.04,56.73,56.24,3538.6385039642764,0,0
2019-04-30,Kochi,Kerala,1.77,27.66,50.48,70.9,3563.1273800592394,0,1
2019-05-01,Kochi,Kerala,3.61,31.89,57.29,33.05,3745.2531049008553,0,1
2019-05-02,Kochi,Kerala,5.82,32.03,54.97,50.19,3535.710954034201,0,0
2019-05-03,Kochi,Kerala,7.56,29.59,51.07,40.0,3417.4597232388014,0,0
2019-05-04,Kochi,Kerala,0.02,32.84,47.46,49.74,3259.951563338175,0,1
2019-05-05,Kochi,Kerala,0.09,32.16,48.74,89.38,2688.136245637074,0,1
2019-05-06,Kochi,Kerala,0.36,30.3,53.77,75.6,3564.4202409450477,0,1
2019-05-07,Kochi,Kerala,2.67,30.5,48.26,31.26,3372.858773350918,0,1
2019-05-08,Kochi,Kerala,0.57,28.9,41.36,47.73,3097.778600984097,0,1
2019-05-09,Kochi,Kerala,1.39,28.93,47.57,62.32,3646.1151855597054,0,1
2019-05-10,Kochi,Kerala,0.66,29.27,53.31,62.31,3714.5378831661096,0,1
2019-05-11,Kochi,Kerala,8.1,32.03,46.2,30.44,3175.7134110949974,0,1
2019-05-12,Kochi,Kerala,0.35,28.58,44.36,41.52,3250.6820274555516,0,0
2019-05-13,Kochi,Kerala,0.04,31.05,55.34,2.0,3017.6967531032465,0,1
2019-05-14,Kochi,Kerala,0.12,28.86,58.85,70.65,3184.6860516433985,0,0
2019-05-15,Kochi,Kerala,0.99,29.83,52.73,31.32,3530.2769396725116,0,0
2019-05-16,Kochi,Kerala,0.97,30.77,52.81,34.97,4089.2551733383075,0,1
2019-05-17,Kochi,Kerala,1.02,30.87,44.95,74.35,4030.8774299987367,0,1
2019-05-18,Kochi,Kerala,1.26,29.72,43.22,45.36,3849.7677163660715,0,1
2019-05-19,Kochi,Kerala,0.94,30.18,47.85,68.0,3707.7441432169485,0,1
2019-05-20,Kochi,Kerala,0.03,30.32,51.23,87.4,3627.2943526200374,0,1
2019-05-21,Kochi,Kerala,0.01,27.67,32.14,28.47,3491.868201202372,0,1
2019-05-22,Kochi,Kerala,0.87,31.21,44.74,71.91,2948.533235490285,0,1
2019-05-23,Kochi,Kerala,6.6,29.54,48.68,49.98,2631.7520215054105,0,1
2019-05-24,Kochi,Kerala,2.23,26.86,45.47,63.08,3697.9111467091825,0,1
2019-05-25,Kochi,Kerala,1.59,32.84,42.17,59.58,3838.613195523754,0,0
2019-05-26,Kochi,Kerala,1.6,30.9,54.19,60.4,3644.1900537443635,0,1
2019-05-27,Kochi,Kerala,2.65,30.8,41.87,34.35,4308.445547731528,0,1
2019-05-28,Kochi,Kerala,0.02,32.52,47.38,62.05,4169.534182706114,0,1
2019-05-29,Kochi,Kerala,0.2,30.41,44.97,20.34,3801.700017644247,0,1
2019-05-30,Kochi,Kerala,0.28,29.51,58.88,71.58,3641.6992806724984,0,0
2019-05-31,Kochi,Kerala,12.22,31.77,52.7,79.52,2496.53076617604,0,1
2019-06-01,Kochi,Kerala,3.59,28.62,64.75,36.68,3264.830791712113,0,1
2019-06-02,Kochi,Kerala,0.6,34.07,68.82,78.65,3386.6053285762496,0,1
2019-06-03,Kochi,Kerala,0.58,30.43,69.56,65.26,3353.4029396262363,0,1
2019-06-04,Kochi,Kerala,6.76,33.21,74.94,74.42,3509.8077654590566,0,1
2019-06-05,Kochi,Kerala,12.66,31.92,75.21,73.42,3729.130834956725,0,0
2019-06-06,Kochi,Kerala,0.68,29.96,57.05,46.2,2465.5334114792254,0,1
2019-06-07,Kochi,Kerala,4.05,30.38,66.88,60.8,4314.02292715859,0,0
2019-06-08,Kochi,Kerala,3.78,30.5,61.4,84.34,3460.026537877757,0,0
2019-06-09,Kochi,Kerala,19.26,34.08,66.86,64.19,3845.9936348628603,0,1
2019-06-10,Kochi,Kerala,4.37,29.38,52.58,54.73,2708.8548349317516,0,1
2019-06-11,Kochi,Kerala,24.26,34.58,52.34,66.27,3540.1045529583575,0,1
2019-06-12,Kochi,Kerala,12.1,30.23,71.02,42.67,3492.0601536360236,0,0
2019-06-13,Kochi,Kerala,5.2,30.93,55.17,31.37,3301.796779546648,0,1
2019-06-14,Kochi,Kerala,1.23,31.96,62.31,94.95,3546.321277240935,0,0
2019-06-15,Kochi,Kerala,0.44,32.82,48.02,81.24,3389.6889635401712,0,1
2019-06-16,Kochi,Kerala,20.49,31.2,60.6,12.31,3716.0485531722907,0,0
2019-06-17,Kochi,Kerala,2.94,32.96,54.68,21.25,3174.4073594554825,0,1
2019-06-18,Kochi,Kerala,21.19,32.75,65.9,19.39,3218.8659678169033,0,0
2019-06-19,Kochi,Kerala,1.73,29.15,58.21,42.43,3244.9863301591654,0,1
2019-06-20,Kochi,Kerala,0.72,31.28,60.86,36.2,3277.81539260999,0,0
2019-06-21,Kochi,Kerala,3.23,31.54,62.24,29.75,3510.2982514547402,0,1
2019-06-22,Kochi,Kerala,5.64,33.28,62.78,22.58,2679.4798420533943,0,1
2019-06-23,Kochi,Kerala,0.82,30.82,52.91,62.56,3658.3884466428567,0,0
2019-06-24,Kochi,Kerala,2.9,31.41,73.06,82.16,3677.827686819673,0,0
2019-06-25,Kochi,Kerala,14.21,30.92,66.31,41.44,3686.2452808585035,0,0
2019-06-26,Kochi,Kerala,1.09,31.97,57.92,78.51,3567.347391218864,0,1
2019-06-27,Kochi,Kerala,18.71,33.87,67.0,57.92,3494.036738731888,0,1
2019-06-28,Kochi,Kerala,13.24,28.83,71.79,65.06,2655.062252139137,0,0
2019-06-29,Kochi,Kerala,0.37,31.55,63.05,44.87,3945.5089690641325,0,1
2019-06-30,Kochi,Kerala,10.91,31.1,51.46,57.57,4335.433129850872,0,0
2019-07-01,Kochi,Kerala,3.46,34.14,85.53,60.64,3255.4618474053095,0,0
2019-07-02,Kochi,Kerala,3.98,31.64,79.6,62.29,3245.894715804658,0,1
2019-07-03,Kochi,Kerala,0.04,29.88,71.7,44.23,3586.7816462981564,0,0
2019-07-04,Kochi,Kerala,4.22,30.61,63.42,63.2,3336.9811422996727,0,1
2019-07-05,Kochi,Kerala,1.9,31.7,66.98,59.74,4166.017611795959,0,1
2019-07-06,Kochi,Kerala,5.25,32.91,74.69,52.74,3145.560652014143,0,0
2019-07-07,Kochi,Kerala,38.46,30.57,80.85,41.75,4173.031167923302,0,0
2019-07-08,Kochi,Kerala,0.26,29.93,71.77,54.38,3424.96871160321,0,1
2019-07-09,Kochi,Kerala,14.81,32.69,65.05,47.23,4017.087782741134,0,0
2019-07-10,Kochi,Kerala,26.76,32.31,69.8,72.86,3228.9214784703113,0,1
2019-07-11,Kochi,Kerala,40.38,30.43,84.79,34.39,3524.6466945645507,0,1
2019-07-12,Kochi,Kerala,13.69,30.31,67.54,71.84,3178.78626190387,0,1
2019-07-13,Kochi,Kerala,16.81,30.76,72.39,77.39,3603.9205547576394,0,1
2019-07-14,Kochi,Kerala,6.21,29.52,87.7,35.33,3740.7163960599555,0,0
2019-07-15,Kochi,Kerala,5.65,28.79,78.41,60.48,3394.732395303643,0,1
2019-07-16,Kochi,Kerala,16.15,30.66,74.82,63.85,3393.4506330001664,0,1
2019-07-17,Kochi,Kerala,4.51,28.24,79.82,15.94,2809.1581455493624,0,0
2019-07-18,Kochi,Kerala,2.46,31.35,72.3,49.78,2762.308714334959,0,0
2019-07-19,Kochi,Kerala,48.46,32.03,68.96,37.48,3420.7408954095517,0,1
2019-07-20,Kochi,Kerala,21.55,29.35,79.32,49.83,4017.3976275006207,0,1
2019-07-21,Kochi,Kerala,3.16,31.01,83.03,55.65,3108.5929639777096,0,0
2019-07-22,Kochi,Kerala,0.03,30.0,77.85,41.16,3440.9718863098415,0,0
2019-07-23,Kochi,Kerala,27.74,28.83,81.24,60.8,3555.0314952026674,0,0
2019-07-24,Kochi,Kerala,1.12,30.34,77.88,31.11,3127.4345388558395,0,0
2019-07-25,Kochi,Kerala,6.26,33.57,87.4,45.86,3535.5066007275177,0,1
2019-07-26,Kochi,Kerala,5.03,29.22,77.6,39.34,3102.077096506348,0,1
2019-07-27,Kochi,Kerala,1.62,31.46,72.4,67.06,3454.490878475529,0,0
2019-07-28,Kochi,Kerala,45.33,30.79,77.18,65.2,3693.1505700359526,0,1
2019-07-29,Kochi,Kerala,27.89,26.13,71.07,33.13,3859.4170112122165,0,1
2019-07-30,Kochi,Kerala,27.77,30.57,66.46,69.65,2898.2936031433837,0,1
2019-07-31,Kochi,Kerala,5.56,32.55,65.2,41.45,3219.433405731042,0,1
2019-08-01,Kochi,Kerala,12.52,30.0,58.58,95.02,3519.7440485093493,0,1
2019-08-02,Kochi,Kerala,2.23,29.54,74.72,49.27,3294.8819260085543,0,0
2019-08-03,Kochi,Kerala,31.37,30.07,71.11,53.23,3349.3395832883148,0,1
2019-08-04,Kochi,Kerala,4.17,29.97,73.84,17.14,3576.045605380018,0,1
2019-08-05,Kochi,Kerala,1.77,30.64,68.52,49.2,3569.433406219254,0,1
2019-08-06,Kochi,Kerala,3.07,28.3,76.13,56.76,3637.203828078015,0,1
2019-08-07,Kochi,Kerala,18.78,29.49,90.71,60.04,3008.3229583363855,0,1
2019-08-08,Kochi,Kerala,4.87,31.18,62.88,86.8,3555.7542243403745,0,1
2019-08-09,Kochi,Kerala,5.97,31.06,76.81,53.6,3033.2839884430296,0,1
2019-08-10,Kochi,Kerala,26.37,29.42,83.47,57.27,3757.8927858220177,0,0
2019-08-11,Kochi,Kerala,11.88,28.59,75.36,39.73,3017.297762027994,0,1
2019-08-12,Kochi,Kerala,25.96,30.78,73.82,78.18,4500.103448098953,0,0
2019-08-13,Kochi,Kerala,15.69,30.85,69.06,26.06,4102.825979698478,0,0
2019-08-14,Kochi,Kerala,0.88,29.46,71.62,51.08,3380.2464882437835,0,1
2019-08-15,Kochi,Kerala,0.44,29.48,73.45,11.88,3179.7063691821745,0,1
2019-08-16,Kochi,Kerala,1.26,31.35,79.22,64.36,3568.2863906000107,0,1
2019-08-17,Kochi,Kerala,24.82,30.99,73.76,18.84,4040.222499605093,0,0
2019-08-18,Kochi,Kerala,17.35,28.63,79.17,34.05,3220.6463247858082,0,1
2019-08-19,Kochi,Kerala,2.11,30.39,80.29,56.25,3537.636963018772,0,1
2019-08-20,Kochi,Kerala,33.15,30.42,73.35,58.86,4272.28385749914,0,1
2019-08-21,Kochi,Kerala,7.59,31.13,73.78,39.02,3376.9663426998477,0,1
2019-08-22,Kochi,Kerala,21.73,29.32,70.34,41.11,3170.062029914031,0,0
2019-08-23,Kochi,Kerala,21.48,29.6,72.49,59.49,3710.3357496449644,0,0
2019-08-24,Kochi,Kerala,2.75,30.36,67.05,67.67,3711.7476814876054,0,0
2019-08-25,Kochi,Kerala,0.31,26.72,67.09,49.01,3074.1886996487083,0,1
2019-08-26,Kochi,Kerala,34.19,29.94,77.06,59.69,2848.1303365813214,0,0
2019-08-27,Kochi,Kerala,52.2,29.18,72.03,69.52,3174.124279220264,0,1
2019-08-28,Kochi,Kerala,3.43,29.35,58.15,38.73,3311.162686327601,0,0
2019-08-29,Kochi,Kerala,17.49,29.94,81.65,67.22,3348.02984835939,0,0
2019-08-30,Kochi,Kerala,12.79,30.91,87.23,53.04,3272.7579781364525,0,1
2019-08-31,Kochi,Kerala,28.53,27.75,73.69,58.02,3702.7486899623264,0,1
2019-09-01,Kochi,Kerala,17.24,29.57,52.38,34.12,3486.3153775742067,0,1
2019-09-02,Kochi,Kerala,10.76,28.32,70.84,64.85,3282.8184827729688,0,1
2019-09-03,Kochi,Kerala,9.22,28.63,70.33,7.37,3861.825158778615,0,1
2019-09-04,Kochi,Kerala,1.76,29.01,69.68,57.76,3431.7570398580747,0,0
2019-09-05,Kochi,Kerala,2.02,29.49,59.29,33.19,3720.9461555425514,0,1
2019-09-06,Kochi,Kerala,0.17,23.91,50.78,79.7,3504.6744570402857,0,1
2019-09-07,Kochi,Kerala,14.43,29.13,63.9,23.39,3656.331530347616,0,1
2019-09-08,Kochi,Kerala,0.13,27.74,70.32,44.85,3392.858333039016,0,0
2019-09-09,Kochi,Kerala,0.1,24.16,57.52,55.27,3951.860169314448,0,1
2019-09-10,Kochi,Kerala,0.49,28.66,71.95,49.23,3641.7438116236367,0,1
2019-09-11,Kochi,Kerala,2.16,28.8,71.06,65.33,2723.1840094819313,0,1
2019-09-12,Kochi,Kerala,5.56,29.61,53.78,45.17,3529.631448256467,0,1
2019-09-13,Kochi,Kerala,10.03,30.26,59.48,35.6,3438.2719173287346,0,1
2019-09-14,Kochi,Kerala,4.64,28.9,60.7,58.0,3613.3965896952504,0,1
2019-09-15,Kochi,Kerala,1.81,30.26,53.02,84.6,3891.7890066994332,0,1
2019-09-16,Kochi,Kerala,0.77,30.22,58.16,55.85,3469.653354705257,0,1
2019-09-17,Kochi,Kerala,14.53,25.46,56.86,68.37,3893.0831206545386,0,1
2019-09-18,Kochi,Kerala,10.38,28.16,53.9,42.12,3706.0461473753026,0,1
2019-09-19,Kochi,Kerala,6.91,28.05,55.42,47.91,2669.73156517777,0,1
2019-09-20,Kochi,Kerala,7.53,29.92,47.38,40.1,3278.769962016881,0,1
2019-09-21,Kochi,Kerala,3.02,24.7,58.75,77.68,4237.409656647352,0,0
2019-09-22,Kochi,Kerala,31.35,30.15,48.82,50.15,3164.6959397545697,0,1
2019-09-23,Kochi,Kerala,0.29,25.88,63.21,66.42,3159.933429445464,0,0
2019-09-24,Kochi,Kerala,0.87,31.19,57.99,44.3,3358.893063074483,0,1
2019-09-25,Kochi,Kerala,30.23,26.6,61.72,16.67,3059.2054266528535,0,1
2019-09-26,Kochi,Kerala,15.17,25.36,55.38,68.24,3505.645295346602,0,0
2019-09-27,Kochi,Kerala,24.19,25.71,61.29,49.4,4135.784448649037,0,0
2019-09-28,Kochi,Kerala,5.22,26.95,60.2,82.55,3499.212414423545,0,1
2019-09-29,Kochi,Kerala,1.72,28.58,78.69,79.64,3693.5768754588353,0,0
2019-09-30,Kochi,Kerala,1.24,27.6,70.74,73.11,3392.5055244199752,0,1
2019-10-01,Kochi,Kerala,0.02,27.13,54.69,83.72,3694.3340259977986,0,1
2019-10-02,Kochi,Kerala,2.34,29.41,46.54,53.6,3370.0037923712757,0,1
2019-10-03,Kochi,Kerala,1.21,27.04,49.41,22.56,3715.054043012366,0,0
2019-10-04,Kochi,Kerala,12.12,27.21,45.69,48.76,4207.223894571542,0,1
2019-10-05,Kochi,Kerala,0.4,24.02,47.38,47.4,2765.2777801035645,0,1
2019-10-06,Kochi,Kerala,0.3,28.7,51.12,77.67,3170.46183921957,0,1
2019-10-07,Kochi,Kerala,1.08,23.69,52.0,58.66,3474.3735866056627,0,1
2019-10-08,Kochi,Kerala,1.59,24.89,58.38,53.26,3618.9330010716503,0,0
2019-10-09,Kochi,Kerala,6.87,26.39,59.53,98.17,3664.4387231217383,0,0
2019-10-10,Kochi,Kerala,5.32,24.97,58.15,44.12,3993.960945056849,0,1
2019-10-11,Kochi,Kerala,0.97,27.91,41.07,28.38,2916.187890038816,0,1
2019-10-12,Kochi,Kerala,2.29,25.49,33.4,39.58,4080.081642081374,0,1
2019-10-13,Kochi,Kerala,0.75,28.32,49.94,84.32,3214.12238725541,0,0
2019-10-14,Kochi,Kerala,0.46,24.47,47.8,48.42,3425.1163996487157,0,1
2019-10-15,Kochi,Kerala,7.19,26.77,47.55,51.87,4074.1239328644087,0,1
2019-10-16,Kochi,Kerala,0.24,29.41,39.79,54.59,3294.9286263419453,0,1
2019-10-17,Kochi,Kerala,0.0,25.49,51.85,26.42,3352.103656020439,0,1
2019-10-18,Kochi,Kerala,0.16,25.29,48.09,45.71,3669.819381017198,0,0
2019-10-19,Kochi,Kerala,0.26,27.98,52.32,50.57,3848.472182141242,0,1
2019-10-20,Kochi,Kerala,4.59,25.79,34.2,29.41,3138.7887141934475,0,0
2019-10-21,Kochi,Kerala,7.7,27.61,55.88,37.76,3800.0236237448144,0,1
2019-10-22,Kochi,Kerala,12.4,25.19,51.45,53.99,3747.28637951424,0,1
2019-10-23,Kochi,Kerala,4.04,25.18,48.79,33.28,3561.495159657697,0,1
2019-10-24,Kochi,Kerala,0.79,25.61,43.57,91.83,3057.4493735879755,0,1
2019-10-25,Kochi,Kerala,3.8,25.24,45.03,82.84,3201.471763772705,0,1
2019-10-26,Kochi,Kerala,2.13,22.56,56.41,51.66,3762.417943780343,0,1
2019-10-27,Kochi,Kerala,0.02,22.74,49.16,61.63,3762.5518921313164,0,0
2019-10-28,Kochi,Kerala,0.03,22.69,43.98,18.57,4113.426644092829,0,1
2019-10-29,Kochi,Kerala,1.21,26.51,52.86,100.0,3694.5692109548045,0,1
2019-10-30,Kochi,Kerala,4.68,23.49,60.29,62.7,3533.064497136874,0,1
2019-10-31,Kochi,Kerala,0.89,24.08,44.65,44.67,3885.129738244028,0,1
