date,region,state,rainfall_mm,temperature_c,humidity_pct,soil_saturation_pct,drainage_index,elevation_m,pop_density_per_km2,flood_prone_base,flood_event
2019-03-31,Kochi,Kerala,2.22,27.34,38.73,34.89,53.97,323.2,3101.199849617949,1,0
2019-04-01,Kochi,Kerala,0.16,26.42,28.32,11.51,60.44,259.3,3924.966440124976,1,1
2019-04-02,Kochi,Kerala,2.33,30.57,36.23,28.07,48.71,5.0,3999.6198492895765,1,0
2019-04-03,Kochi,Kerala,2.46,31.16,45.53,49.5,58.6,289.3,4612.598787778637,1,0
2019-04-04,Kochi,Kerala,1.28,29.82,42.36,26.13,73.63,259.3,3504.894827652852,1,0
2019-04-05,Kochi,Kerala,0.14,25.53,50.58,20.29,38.37,232.5,3257.272842399702,1,0
2019-04-06,Kochi,Kerala,0.2,27.89,40.57,29.69,64.18,5.0,3522.050828917145,1,1
2019-04-07,Kochi,Kerala,0.92,28.55,43.48,29.7,59.58,317.7,3111.1132846788546,1,0
2019-04-08,Kochi,Kerala,0.11,27.99,25.24,13.04,47.5,82.7,3513.5033930433206,1,1
2019-04-09,Kochi,Kerala,0.14,27.68,38.35,34.9,36.97,366.9,3448.3951285286416,1,0
2019-04-10,Kochi,Kerala,0.21,31.85,43.45,17.4,61.05,5.0,3638.9616550054216,1,1
2019-04-11,Kochi,Kerala,0.77,30.31,54.51,44.98,67.94,659.0,3388.732707980038,1,1
2019-04-12,Kochi,Kerala,7.53,28.04,43.92,54.85,57.45,374.1,3526.499650784892,1,1
2019-04-13,Kochi,Kerala,0.09,29.42,49.97,18.56,58.68,532.1,3574.0634064782676,1,0
2019-04-14,Kochi,Kerala,0.43,30.82,47.56,26.79,65.04,5.0,2223.0555111748254,1,0
2019-04-15,Kochi,Kerala,0.83,29.8,35.95,23.54,80.56,104.8,3499.3280513882787,1,1
2019-04-16,Kochi,Kerala,3.07,29.34,37.23,31.36,59.47,5.0,3240.232767100897,1,1
2019-04-17,Kochi,Kerala,0.12,29.55,50.18,20.1,44.38,581.4,3004.105267591094,1,1
2019-04-18,Kochi,Kerala,0.84,26.98,47.09,38.03,65.62,439.6,3615.8640542486687,1,1
2019-04-19,Kochi,Kerala,2.52,28.88,41.39,40.72,82.19,788.3,3461.593036429436,1,0
2019-04-20,Kochi,Kerala,1.19,29.58,46.3,39.19,59.11,31.2,3721.8686322068097,1,1
2019-04-21,Kochi,Kerala,0.09,30.46,42.25,37.64,65.68,5.0,3324.7393396850794,1,1
2019-04-22,Kochi,Kerala,4.32,27.98,45.67,30.72,54.95,435.9,3610.6167547255004,1,0
2019-04-23,Kochi,Kerala,0.2,26.41,42.33,8.36,60.54,248.6,3915.672037452392,1,0
2019-04-24,Kochi,Kerala,0.62,30.36,41.03,30.49,74.79,82.7,3737.090479042306,1,1
2019-04-25,Kochi,Kerala,0.44,30.74,46.07,22.73,47.11,88.7,3165.5311914095105,1,0
2019-04-26,Kochi,Kerala,12.28,29.44,46.13,64.28,39.34,691.6,3643.910171305587,1,0
2019-04-27,Kochi,Kerala,0.3,29.57,56.88,25.68,76.98,56.7,3124.813106698423,1,0
2019-04-28,Kochi,Kerala,3.13,29.74,43.67,21.36,56.56,5.0,3579.3751161381974,1,0
2019-04-29,Kochi,Kerala,0.69,29.04,56.73,32.99,57.73,379.8,3538.6385039642764,1,1
2019-04-30,Kochi,Kerala,1.77,27.66,50.48,28.65,51.06,252.6,3563.1273800592394,1,0
2019-05-01,Kochi,Kerala,3.61,31.89,57.29,39.03,68.98,405.9,3745.2531049008553,1,1
2019-05-02,Kochi,Kerala,5.82,32.03,54.97,49.53,55.92,5.0,3535.710954034201,1,0
2019-05-03,Kochi,Kerala,7.56,29.59,51.07,26.16,66.75,250.9,3417.4597232388014,1,0
2019-05-04,Kochi,Kerala,0.02,32.84,47.46,27.57,28.54,5.0,3259.951563338175,1,1
2019-05-05,Kochi,Kerala,0.09,32.16,48.74,30.44,58.67,251.1,2688.136245637074,1,0
2019-05-06,Kochi,Kerala,0.36,30.3,53.77,35.02,54.24,555.7,3564.4202409450477,1,0
2019-05-07,Kochi,Kerala,2.67,30.5,48.26,46.87,23.24,5.0,3372.858773350918,1,0
2019-05-08,Kochi,Kerala,0.57,28.9,41.36,55.03,87.03,126.5,3097.778600984097,1,1
2019-05-09,Kochi,Kerala,1.39,28.93,47.57,15.11,48.57,294.6,3646.1151855597054,1,0
2019-05-10,Kochi,Kerala,0.66,29.27,53.31,30.42,39.35,155.1,3714.5378831661096,1,0
2019-05-11,Kochi,Kerala,8.1,32.03,46.2,43.98,89.01,838.1,3175.7134110949974,1,0
2019-05-12,Kochi,Kerala,0.35,28.58,44.36,34.48,58.46,54.8,3250.6820274555516,1,0
2019-05-13,Kochi,Kerala,0.04,31.05,55.34,25.14,57.21,35.9,3017.6967531032465,1,0
2019-05-14,Kochi,Kerala,0.12,28.86,58.85,29.65,79.36,373.3,3184.6860516433985,1,0
2019-05-15,Kochi,Kerala,0.99,29.83,52.73,36.45,51.76,5.0,3530.2769396725116,1,0
2019-05-16,Kochi,Kerala,0.97,30.77,52.81,36.96,83.28,633.1,4089.2551733383075,1,0
2019-05-17,Kochi,Kerala,1.02,30.87,44.95,12.74,57.43,5.0,4030.8774299987367,1,0
2019-05-18,Kochi,Kerala,1.26,29.72,43.22,38.76,59.42,771.9,3849.7677163660715,1,0
2019-05-19,Kochi,Kerala,0.94,30.18,47.85,29.59,47.46,448.6,3707.7441432169485,1,1
2019-05-20,Kochi,Kerala,0.03,30.32,51.23,23.79,60.35,70.1,3627.2943526200374,1,1
2019-05-21,Kochi,Kerala,0.01,27.67,32.14,37.97,60.91,325.1,3491.868201202372,1,1
2019-05-22,Kochi,Kerala,0.87,31.21,44.74,26.75,28.06,327.3,2948.533235490285,1,0
2019-05-23,Kochi,Kerala,6.6,29.54,48.68,14.44,69.21,476.2,2631.7520215054105,1,0
2019-05-24,Kochi,Kerala,2.23,26.86,45.47,19.98,72.07,47.5,3697.9111467091825,1,0
2019-05-25,Kochi,Kerala,1.59,32.84,42.17,25.67,59.67,5.0,3838.613195523754,1,1
2019-05-26,Kochi,Kerala,1.6,30.9,54.19,12.5,43.88,513.0,3644.1900537443635,1,0
2019-05-27,Kochi,Kerala,2.65,30.8,41.87,36.4,66.58,92.0,4308.445547731528,1,1
2019-05-28,Kochi,Kerala,0.02,32.52,47.38,27.49,68.43,5.0,4169.534182706114,1,1
2019-05-29,Kochi,Kerala,0.2,30.41,44.97,27.62,54.33,524.9,3801.700017644247,1,1
2019-05-30,Kochi,Kerala,0.28,29.51,58.88,42.68,74.39,5.0,3641.6992806724984,1,1
2019-05-31,Kochi,Kerala,12.22,31.77,52.7,41.55,64.37,692.1,2496.53076617604,1,1
2019-06-01,Kochi,Kerala,3.59,28.62,64.75,45.36,43.7,350.9,3264.830791712113,1,0
2019-06-02,Kochi,Kerala,0.6,34.07,68.82,28.66,68.63,5.0,3386.6053285762496,1,0
2019-06-03,Kochi,Kerala,0.58,30.43,69.56,33.02,69.78,247.4,3353.4029396262363,1,0
2019-06-04,Kochi,Kerala,6.76,33.21,74.94,26.88,93.44,548.6,3509.8077654590566,1,1
2019-06-05,Kochi,Kerala,12.66,31.92,75.21,41.94,46.33,497.3,3729.130834956725,1,0
2019-06-06,Kochi,Kerala,0.68,29.96,57.05,14.19,63.55,225.0,2465.5334114792254,1,0
2019-06-07,Kochi,Kerala,4.05,30.38,66.88,19.33,81.58,206.8,4314.02292715859,1,1
2019-06-08,Kochi,Kerala,3.78,30.5,61.4,38.12,58.42,131.4,3460.026537877757,1,1
2019-06-09,Kochi,Kerala,19.26,34.08,66.86,55.04,49.13,5.0,3845.9936348628603,1,0
2019-06-10,Kochi,Kerala,4.37,29.38,52.58,15.82,61.64,587.5,2708.8548349317516,1,0
2019-06-11,Kochi,Kerala,24.26,34.58,52.34,45.5,85.59,385.0,3540.1045529583575,1,0
2019-06-12,Kochi,Kerala,12.1,30.23,71.02,25.95,64.93,303.6,3492.0601536360236,1,0
2019-06-13,Kochi,Kerala,5.2,30.93,55.17,37.39,42.75,463.6,3301.796779546648,1,0
2019-06-14,Kochi,Kerala,1.23,31.96,62.31,35.97,28.39,237.1,3546.321277240935,1,1
2019-06-15,Kochi,Kerala,0.44,32.82,48.02,13.53,63.15,35.5,3389.6889635401712,1,1
2019-06-16,Kochi,Kerala,20.49,31.2,60.6,57.18,77.98,198.9,3716.0485531722907,1,0
2019-06-17,Kochi,Kerala,2.94,32.96,54.68,52.44,45.61,474.8,3174.4073594554825,1,1
2019-06-18,Kochi,Kerala,21.19,32.75,65.9,45.9,80.46,179.0,3218.8659678169033,1,0
2019-06-19,Kochi,Kerala,1.73,29.15,58.21,25.57,54.52,5.0,3244.9863301591654,1,1
2019-06-20,Kochi,Kerala,0.72,31.28,60.86,31.98,47.75,5.0,3277.81539260999,1,0
2019-06-21,Kochi,Kerala,3.23,31.54,62.24,36.0,59.81,5.0,3510.2982514547402,1,1
2019-06-22,Kochi,Kerala,5.64,33.28,62.78,40.01,49.45,214.2,2679.4798420533943,1,0
2019-06-23,Kochi,Kerala,0.82,30.82,52.91,16.55,57.39,31.1,3658.3884466428567,1,1
2019-06-24,Kochi,Kerala,2.9,31.41,73.06,44.96,38.67,156.3,3677.827686819673,1,1
2019-06-25,Kochi,Kerala,14.21,30.92,66.31,38.84,59.36,273.6,3686.2452808585035,1,1
2019-06-26,Kochi,Kerala,1.09,31.97,57.92,36.65,60.7,478.6,3567.347391218864,1,0
2019-06-27,Kochi,Kerala,18.71,33.87,67.0,55.75,41.7,5.0,3494.036738731888,1,1
2019-06-28,Kochi,Kerala,13.24,28.83,71.79,40.68,56.94,5.0,2655.062252139137,1,1
2019-06-29,Kochi,Kerala,0.37,31.55,63.05,41.99,57.32,41.8,3945.5089690641325,1,0
2019-06-30,Kochi,Kerala,10.91,31.1,51.46,42.61,33.6,475.5,4335.433129850872,1,1
2019-07-01,Kochi,Kerala,3.46,34.14,85.53,25.81,63.36,250.6,3255.4618474053095,1,0
2019-07-02,Kochi,Kerala,3.98,31.64,79.6,30.91,35.77,546.6,3245.894715804658,1,0
2019-07-03,Kochi,Kerala,0.04,29.88,71.7,42.32,50.41,442.1,3586.7816462981564,1,0
2019-07-04,Kochi,Kerala,4.22,30.61,63.42,19.56,52.02,5.0,3336.9811422996727,1,1
2019-07-05,Kochi,Kerala,1.9,31.7,66.98,26.59,62.12,5.0,4166.017611795959,1,0
2019-07-06,Kochi,Kerala,5.25,32.91,74.69,28.39,25.86,442.3,3145.560652014143,1,1
2019-07-07,Kochi,Kerala,38.46,30.57,80.85,47.38,75.71,5.0,4173.031167923302,1,1
2019-07-08,Kochi,Kerala,0.26,29.93,71.77,30.94,60.56,222.7,3424.96871160321,1,0
2019-07-09,Kochi,Kerala,14.81,32.69,65.05,39.95,47.7,283.4,4017.087782741134,1,1
2019-07-10,Kochi,Kerala,26.76,32.31,69.8,45.64,64.71,102.5,3228.9214784703113,1,0
2019-07-11,Kochi,Kerala,40.38,30.43,84.79,68.59,85.65,930.3,3524.6466945645507,1,1
2019-07-12,Kochi,Kerala,13.69,30.31,67.54,30.43,57.84,5.0,3178.78626190387,1,0
2019-07-13,Kochi,Kerala,16.81,30.76,72.39,44.17,40.57,761.8,3603.9205547576394,1,0
2019-07-14,Kochi,Kerala,6.21,29.52,87.7,43.06,61.43,5.0,3740.7163960599555,1,0
2019-07-15,Kochi,Kerala,5.65,28.79,78.41,44.68,35.12,247.6,3394.732395303643,1,1
2019-07-16,Kochi,Kerala,16.15,30.66,74.82,37.28,53.35,238.1,3393.4506330001664,1,1
2019-07-17,Kochi,Kerala,4.51,28.24,79.82,33.6,60.6,538.2,2809.1581455493624,1,0
2019-07-18,Kochi,Kerala,2.46,31.35,72.3,38.61,73.99,395.2,2762.308714334959,1,1
2019-07-19,Kochi,Kerala,48.46,32.03,68.96,75.51,72.91,717.6,3420.7408954095517,1,0
2019-07-20,Kochi,Kerala,21.55,29.35,79.32,53.03,61.32,315.9,4017.3976275006207,1,0
2019-07-21,Kochi,Kerala,3.16,31.01,83.03,17.56,40.35,5.0,3108.5929639777096,1,1
2019-07-22,Kochi,Kerala,0.03,30.0,77.85,27.03,70.08,392.5,3440.9718863098415,1,0
2019-07-23,Kochi,Kerala,27.74,28.83,81.24,41.35,81.19,557.2,3555.0314952026674,1,0
2019-07-24,Kochi,Kerala,1.12,30.34,77.88,39.61,51.57,65.1,3127.4345388558395,1,1
2019-07-25,Kochi,Kerala,6.26,33.57,87.4,18.75,70.87,676.6,3535.5066007275177,1,1
2019-07-26,Kochi,Kerala,5.03,29.22,77.6,18.41,68.14,557.4,3102.077096506348,1,1
2019-07-27,Kochi,Kerala,1.62,31.46,72.4,20.54,51.68,571.4,3454.490878475529,1,0
2019-07-28,Kochi,Kerala,45.33,30.79,77.18,61.56,66.53,15.9,3693.1505700359526,1,0
2019-07-29,Kochi,Kerala,27.89,26.13,71.07,62.56,55.24,5.0,3859.4170112122165,1,0
2019-07-30,Kochi,Kerala,27.77,30.57,66.46,46.38,44.74,509.9,2898.2936031433837,1,1
2019-07-31,Kochi,Kerala,5.56,32.55,65.2,50.49,59.5,5.0,3219.433405731042,1,0
2019-08-01,Kochi,Kerala,12.52,30.0,58.58,32.49,46.36,5.0,3519.7440485093493,1,0
2019-08-02,Kochi,Kerala,2.23,29.54,74.72,21.54,73.62,5.0,3294.8819260085543,1,0
2019-08-03,Kochi,Kerala,31.37,30.07,71.11,47.75,67.28,321.5,3349.3395832883148,1,0
2019-08-04,Kochi,Kerala,4.17,29.97,73.84,50.3,39.89,481.0,3576.045605380018,1,1
2019-08-05,Kochi,Kerala,1.77,30.64,68.52,31.73,56.22,14.2,3569.433406219254,1,1
2019-08-06,Kochi,Kerala,3.07,28.3,76.13,37.91,63.47,539.6,3637.203828078015,1,0
2019-08-07,Kochi,Kerala,18.78,29.49,90.71,40.5,50.01,380.2,3008.3229583363855,1,0
2019-08-08,Kochi,Kerala,4.87,31.18,62.88,51.66,69.88,246.9,3555.7542243403745,1,1
2019-08-09,Kochi,Kerala,5.97,31.06,76.81,34.92,48.15,289.0,3033.2839884430296,1,1
2019-08-10,Kochi,Kerala,26.37,29.42,83.47,46.16,69.89,130.9,3757.8927858220177,1,1
2019-08-11,Kochi,Kerala,11.88,28.59,75.36,48.73,69.9,824.9,3017.297762027994,1,0
2019-08-12,Kochi,Kerala,25.96,30.78,73.82,39.54,71.5,5.0,4500.103448098953,1,1
2019-08-13,Kochi,Kerala,15.69,30.85,69.06,24.45,50.96,5.0,4102.825979698478,1,1
2019-08-14,Kochi,Kerala,0.88,29.46,71.62,40.35,59.51,409.2,3380.2464882437835,1,1
2019-08-15,Kochi,Kerala,0.44,29.48,73.45,17.49,59.48,266.1,3179.7063691821745,1,1
2019-08-16,Kochi,Kerala,1.26,31.35,79.22,30.05,52.98,61.2,3568.2863906000107,1,1
2019-08-17,Kochi,Kerala,24.82,30.99,73.76,57.7,73.06,8.6,4040.222499605093,1,0
2019-08-18,Kochi,Kerala,17.35,28.63,79.17,41.08,52.32,670.3,3220.6463247858082,1,0
2019-08-19,Kochi,Kerala,2.11,30.39,80.29,33.68,67.34,172.2,3537.636963018772,1,1
2019-08-20,Kochi,Kerala,33.15,30.42,73.35,48.43,61.02,241.6,4272.28385749914,1,0
2019-08-21,Kochi,Kerala,7.59,31.13,73.78,59.45,54.33,347.2,3376.9663426998477,1,0
2019-08-22,Kochi,Kerala,21.73,29.32,70.34,74.42,65.91,34.2,3170.062029914031,1,0
2019-08-23,Kochi,Kerala,21.48,29.6,72.49,54.5,47.3,5.0,3710.3357496449644,1,1
2019-08-24,Kochi,Kerala,2.75,30.36,67.05,26.99,45.84,640.3,3711.7476814876054,1,0
2019-08-25,Kochi,Kerala,0.31,26.72,67.09,24.09,47.24,5.0,3074.1886996487083,1,1
2019-08-26,Kochi,Kerala,34.19,29.94,77.06,63.38,54.4,886.3,2848.1303365813214,1,1
2019-08-27,Kochi,Kerala,52.2,29.18,72.03,67.08,90.16,414.7,3174.124279220264,1,1
2019-08-28,Kochi,Kerala,3.43,29.35,58.15,30.94,60.21,185.5,3311.162686327601,1,1
2019-08-29,Kochi,Kerala,17.49,29.94,81.65,41.05,53.16,381.3,3348.02984835939,1,0
2019-08-30,Kochi,Kerala,12.79,30.91,87.23,31.57,60.21,253.4,3272.7579781364525,1,1
2019-08-31,Kochi,Kerala,28.53,27.75,73.69,44.88,43.51,320.3,3702.7486899623264,1,0
2019-09-01,Kochi,Kerala,17.24,29.57,52.38,30.93,83.74,5.0,3486.3153775742067,1,0
2019-09-02,Kochi,Kerala,10.76,28.32,70.84,30.55,39.09,532.8,3282.8184827729688,1,0
2019-09-03,Kochi,Kerala,9.22,28.63,70.33,27.01,58.73,452.5,3861.825158778615,1,0
2019-09-04,Kochi,Kerala,1.76,29.01,69.68,36.92,24.34,14.6,3431.7570398580747,1,1
2019-09-05,Kochi,Kerala,2.02,29.49,59.29,13.15,53.17,374.9,3720.9461555425514,1,0
2019-09-06,Kochi,Kerala,0.17,23.91,50.78,49.0,51.8,5.0,3504.6744570402857,1,1
2019-09-07,Kochi,Kerala,14.43,29.13,63.9,48.52,94.16,541.3,3656.331530347616,1,0
2019-09-08,Kochi,Kerala,0.13,27.74,70.32,39.38,98.59,25.0,3392.858333039016,1,1
2019-09-09,Kochi,Kerala,0.1,24.16,57.52,33.77,52.6,830.6,3951.860169314448,1,1
2019-09-10,Kochi,Kerala,0.49,28.66,71.95,30.95,67.44,359.9,3641.7438116236367,1,1
2019-09-11,Kochi,Kerala,2.16,28.8,71.06,43.13,60.18,5.0,2723.1840094819313,1,1
2019-09-12,Kochi,Kerala,5.56,29.61,53.78,18.92,63.91,239.9,3529.631448256467,1,1
2019-09-13,Kochi,Kerala,10.03,30.26,59.48,17.47,57.17,493.5,3438.2719173287346,1,0
2019-09-14,Kochi,Kerala,4.64,28.9,60.7,35.69,42.22,5.0,3613.3965896952504,1,1
2019-09-15,Kochi,Kerala,1.81,30.26,53.02,27.93,67.21,1009.6,3891.7890066994332,1,0
