region,state,month,avg_temp_c,avg_humidity,pop_density_per_km2,energy_demand_mwh,carbon_emissions_tco2
Bengaluru,Karnataka,2019-10,21.66483870967742,47.43838709677419,9183.026738927696,20.12,15.09
Bengaluru,Karnataka,2019-11,19.829,43.326,8869.447175690333,17.19,12.89
Bengaluru,Karnataka,2019-12,19.788064516129033,40.19967741935484,8908.368542437676,17.02,12.77
Bengaluru,Karnataka,2020-01,19.28774193548387,43.94161290322581,8916.623460844328,14.6,10.95
Bengaluru,Karnataka,2020-02,21.29689655172414,41.470000000000006,8805.198329234354,16.14,12.1
Bengaluru,Karnataka,2020-03,23.141935483870967,44.18645161290323,9449.318725406587,15.36,11.52
Bengaluru,Karnataka,2020-04,25.21466666666667,45.463,8997.74781116122,20.05,15.04
Bengaluru,Karnataka,2020-05,27.23225806451613,49.193548387096776,9041.679271218358,34.75,26.06
Bengaluru,Karnataka,2020-06,27.17,63.824666666666666,8931.363629464886,31.66,23.75
Bengaluru,Karnataka,2020-07,27.118709677419353,74.06903225806451,9163.288412396998,31.49,23.62
Bengaluru,Karnataka,2020-08,25.443548387096776,70.83258064516129,8970.363359391178,22.45,16.84
Bengaluru,Karnataka,2020-09,24.176,61.486666666666665,9008.718897122113,17.22,12.92
Bengaluru,Karnataka,2020-10,21.883870967741935,50.009354838709676,8853.309384525923,17.44,13.08
Bengaluru,Karnataka,2020-11,20.346666666666668,44.6,8852.947086487136,19.66,14.74
Bengaluru,Karnataka,2020-12,19.168333333333333,43.90433333333333,9169.72788762623,16.13,12.1
Bhopal,Madhya Pradesh,2019-01,21.58709677419355,44.8983870967742,781.784929702553,1.0,0.75
Bhopal,Madhya Pradesh,2019-02,22.827142857142857,43.467499999999994,795.2601729119084,1.0,0.75
Bhopal,Madhya Pradesh,2019-03,24.556129032258063,44.06548387096774,805.5407720635975,2.23,1.67
Bhopal,Madhya Pradesh,2019-04,26.608666666666668,43.164,792.149335172601,17.19,12.89
Bhopal,Madhya Pradesh,2019-05,27.721612903225807,48.446451612903225,812.1579393431014,21.88,16.41
Bhopal,Madhya Pradesh,2019-06,29.315,67.096,801.3696250285262,31.83,23.87
Bhopal,Madhya Pradesh,2019-07,28.37677419354839,77.33290322580646,821.4081745311476,19.39,14.55
Bhopal,Madhya Pradesh,2019-08,27.383870967741935,73.98225806451612,764.1174916543631,13.28,9.96
Bhopal,Madhya Pradesh,2019-09,25.389,60.581,779.8742615248201,7.99,5.99
Bhopal,Madhya Pradesh,2019-10,23.184516129032257,47.18193548387097,822.7975101422902,1.0,0.75
Bhopal,Madhya Pradesh,2019-11,21.262666666666668,43.607,815.4953889525079,2.21,1.66
Bhopal,Madhya Pradesh,2019-12,21.25225806451613,46.91161290322581,766.1958479044594,1.0,0.75
Bhopal,Madhya Pradesh,2020-01,21.26290322580645,44.262903225806454,808.2532507265754,3.87,2.9
Bhopal,Madhya Pradesh,2020-02,22.803793103448275,42.03896551724138,811.3462852504898,1.34,1.01
Bhopal,Madhya Pradesh,2020-03,25.03774193548387,45.39806451612903,801.1110861551913,3.93,2.95
Bhopal,Madhya Pradesh,2020-04,26.84733333333333,45.90333333333333,803.6225063978925,18.98,14.24
Bhopal,Madhya Pradesh,2020-05,28.43516129032258,48.33387096774193,784.2580134210073,22.71,17.03
Bhopal,Madhya Pradesh,2020-06,28.938,64.983,790.4615665998032,23.32,17.49
Bhopal,Madhya Pradesh,2020-07,28.324838709677422,77.33193548387096,773.7750436052963,19.79,14.84
Bhopal,Madhya Pradesh,2020-08,27.013870967741934,71.9241935483871,824.9661717610678,16.66,12.5
Bhopal,Madhya Pradesh,2020-09,25.567333333333334,61.458,781.1092298157697,4.97,3.72
Bhopal,Madhya Pradesh,2020-10,23.21483870967742,49.7341935483871,791.4352507218115,4.63,3.47
Bhopal,Madhya Pradesh,2020-11,21.985,44.005,786.8020050076142,1.0,0.75
Bhopal,Madhya Pradesh,2020-12,20.863,45.211666666666666,814.8929320840748,1.88,1.41
Bhubaneswar,Odisha,2019-01,23.688064516129035,43.968387096774194,808.0473414349691,1.0,0.75
Bhubaneswar,Odisha,2019-02,24.721785714285716,44.88535714285714,808.1872893278456,5.47,4.1
Bhubaneswar,Odisha,2019-03,27.103225806451615,41.45,800.7727774910354,16.85,12.64
Bhubaneswar,Odisha,2019-04,28.58,46.977999999999994,785.7391068547275,23.96,17.97
Bhubaneswar,Odisha,2019-05,30.07741935483871,46.09806451612903,790.9250112396488,32.09,24.07
Bhubaneswar,Odisha,2019-06,30.896666666666665,64.95366666666668,798.4330692614698,36.94,27.7
Bhubaneswar,Odisha,2019-07,30.998387096774195,76.87193548387097,782.9410966706375,38.49,28.86
Bhubaneswar,Odisha,2019-08,29.56096774193548,72.58935483870968,778.6468027474175,26.55,19.91
Bhubaneswar,Odisha,2019-09,27.320666666666668,62.42933333333334,786.5382701903396,13.92,10.44
Bhubaneswar,Odisha,2019-10,25.406774193548387,50.15483870967742,788.4429401009043,8.51,6.38
Bhubaneswar,Odisha,2019-11,24.079666666666665,43.626999999999995,784.1975554401387,1.0,0.75
Bhubaneswar,Odisha,2019-12,23.00483870967742,46.872258064516124,812.9115374628633,1.3,0.98
Bhubaneswar,Odisha,2020-01,23.639354838709675,42.20225806451613,764.1647952956221,4.08,3.06
Bhubaneswar,Odisha,2020-02,24.883793103448276,43.110689655172415,787.0927824563444,4.57,3.43
Bhubaneswar,Odisha,2020-03,26.706129032258065,46.02,797.8651774377836,12.37,9.28
Bhubaneswar,Odisha,2020-04,28.130333333333333,43.336999999999996,800.7395007438226,22.5,16.88
Bhubaneswar,Odisha,2020-05,30.391612903225806,47.48096774193549,808.6121978489425,35.82,26.87
Bhubaneswar,Odisha,2020-06,30.452333333333335,67.56866666666666,814.3139134511702,36.09,27.07
Bhubaneswar,Odisha,2020-07,30.424838709677417,74.39225806451613,770.9515773695464,35.44,26.58
Bhubaneswar,Odisha,2020-08,28.65096774193548,70.89967741935483,790.9842487483552,26.46,19.84
Bhubaneswar,Odisha,2020-09,27.677,62.621,784.1539434568914,21.11,15.83
Bhubaneswar,Odisha,2020-10,25.345483870967744,49.66483870967742,777.0113101793128,1.03,0.77
Bhubaneswar,Odisha,2020-11,23.630999999999997,46.370999999999995,784.7652264812111,5.35,4.01
Bhubaneswar,Odisha,2020-12,23.212333333333333,43.967666666666666,767.7486295099028,3.0,2.25
Bikaner,Rajasthan,2019-01,24.03806451612903,44.052580645161285,148.7454557095253,1.0,0.75
Bikaner,Rajasthan,2019-02,24.8325,42.10928571428571,153.8749304662854,4.33,3.25
Bikaner,Rajasthan,2019-03,26.43,44.51064516129032,153.08436704492343,6.76,5.07
Bikaner,Rajasthan,2019-04,28.659666666666666,43.385666666666665,145.62214823393276,22.98,17.23
Bikaner,Rajasthan,2019-05,30.396451612903224,47.369677419354836,150.2964513984712,36.09,27.07
Bikaner,Rajasthan,2019-06,31.055,63.84066666666667,147.620254850269,37.62,28.21
Bikaner,Rajasthan,2019-07,30.359032258064516,76.50548387096775,153.1038319870652,28.71,21.53
Bikaner,Rajasthan,2019-08,28.895806451612902,71.96774193548387,148.01622951717195,24.11,18.08
Bikaner,Rajasthan,2019-09,27.417333333333332,61.54866666666667,151.81804729250746,14.59,10.94
Bikaner,Rajasthan,2019-10,25.6658064516129,47.230000000000004,151.7350881656415,9.01,6.75
Bikaner,Rajasthan,2019-11,23.804333333333332,42.94533333333334,147.9259887690059,2.1,1.57
Bikaner,Rajasthan,2019-12,22.625806451612902,43.98870967741936,150.07209490899172,4.3,3.22
Bikaner,Rajasthan,2020-01,23.371290322580645,43.1841935483871,147.15728679604567,1.0,0.75
Bikaner,Rajasthan,2020-02,24.776206896551724,40.044137931034484,148.9017613927386,3.95,2.96
Bikaner,Rajasthan,2020-03,26.475161290322582,41.91903225806452,148.61954524343076,11.37,8.53
Bikaner,Rajasthan,2020-04,28.248333333333335,46.455666666666666,150.81664515996312,18.76,14.07
Bikaner,Rajasthan,2020-05,30.798709677419353,47.24580645161291,151.24545695206052,37.22,27.92
Bikaner,Rajasthan,2020-06,30.803,61.759,150.8908001300329,41.86,31.39
Bikaner,Rajasthan,2020-07,30.712580645161292,74.65096774193547,148.80549588795753,34.89,26.17
Bikaner,Rajasthan,2020-08,29.011935483870968,72.71225806451612,147.2213245397437,25.91,19.43
Bikaner,Rajasthan,2020-09,26.863333333333333,59.40366666666667,145.5090265607505,11.94,8.96
Bikaner,Rajasthan,2020-10,25.17064516129032,47.862258064516126,155.83793834597319,5.71,4.28
Bikaner,Rajasthan,2020-11,23.424666666666667,42.721000000000004,150.16543615864515,1.0,0.75
Bikaner,Rajasthan,2020-12,23.267999999999997,44.757333333333335,150.2757761679899,3.21,2.41
Chandigarh,Punjab,2019-01,20.456774193548387,46.11064516129032,791.8876904574435,1.44,1.08
Chandigarh,Punjab,2019-02,21.846785714285716,41.38357142857143,808.0364987695033,1.19,0.89
Chandigarh,Punjab,2019-03,23.70193548387097,43.8783870967742,821.7323819953081,1.0,0.75
Chandigarh,Punjab,2019-04,25.436,46.547333333333334,802.9034346779957,7.31,5.48
Chandigarh,Punjab,2019-05,27.037096774193547,49.80290322580645,804.629790663619,12.54,9.4
Chandigarh,Punjab,2019-06,28.17366666666667,65.05033333333333,809.104339287933,22.63,16.97
Chandigarh,Punjab,2019-07,27.58967741935484,76.79096774193549,791.2848109275355,16.12,12.09
Chandigarh,Punjab,2019-08,26.55806451612903,71.51903225806453,807.8695907643855,11.51,8.63
Chandigarh,Punjab,2019-09,24.321,60.940333333333335,782.5829123735768,4.83,3.62
Chandigarh,Punjab,2019-10,22.062903225806455,50.156129032258065,821.1273547708236,4.61,3.46
Chandigarh,Punjab,2019-11,20.661,44.888000000000005,806.4710707067187,2.07,1.55
Chandigarh,Punjab,2019-12,20.057741935483868,42.00741935483871,776.3729584084003,1.0,0.75
Chandigarh,Punjab,2020-01,20.801612903225806,48.55032258064516,787.5557564700806,1.66,1.24
Chandigarh,Punjab,2020-02,21.96551724137931,44.76413793103448,823.2600648925586,3.3,2.48
Chandigarh,Punjab,2020-03,23.574838709677422,44.21258064516129,806.2170825791766,1.93,1.44
Chandigarh,Punjab,2020-04,25.737333333333332,45.736,795.1061708379588,8.86,6.64
Chandigarh,Punjab,2020-05,27.368387096774192,46.36709677419354,798.588177433069,18.58,13.94
Chandigarh,Punjab,2020-06,28.291666666666668,63.69133333333333,798.3303008661964,17.9,13.42
Chandigarh,Punjab,2020-07,27.661612903225805,76.8383870967742,813.7184580829542,18.01,13.51
Chandigarh,Punjab,2020-08,26.04806451612903,71.82741935483871,825.0278577307397,9.53,7.15
Chandigarh,Punjab,2020-09,24.336666666666666,61.336,806.5765083030902,1.28,0.96
Chandigarh,Punjab,2020-10,22.583870967741937,47.94709677419355,773.8273569980576,2.6,1.95
Chandigarh,Punjab,2020-11,20.26833333333333,45.64633333333334,793.926792789193,1.0,0.75
Chandigarh,Punjab,2020-12,19.930999999999997,43.574333333333335,806.3323307178113,1.0,0.75
Chennai,Tamil Nadu,2019-01,24.901612903225807,42.70870967741936,8797.736974718704,19.52,14.64
Chennai,Tamil Nadu,2019-02,26.157142857142855,43.86714285714286,8993.996434250961,29.91,22.43
Chennai,Tamil Nadu,2019-03,28.39032258064516,44.70193548387097,8924.99971325836,36.12,27.09
Chennai,Tamil Nadu,2019-04,29.96066666666667,44.77033333333333,8798.890449514454,47.88,35.91
Chennai,Tamil Nadu,2019-05,31.3341935483871,49.55451612903226,8987.110997334346,60.0,45.0
Chennai,Tamil Nadu,2019-06,32.585,64.02166666666668,9112.381665235804,68.55,51.41
Chennai,Tamil Nadu,2019-07,31.856451612903225,74.09387096774194,8726.652920478502,58.66,43.99
Chennai,Tamil Nadu,2019-08,30.350322580645162,73.38677419354838,8971.299924543733,51.28,38.46
Chennai,Tamil Nadu,2019-09,28.747,59.841,9039.039680910038,37.09,27.82
Chennai,Tamil Nadu,2019-10,26.91290322580645,46.942903225806454,8863.040081715408,31.35,23.51
Chennai,Tamil Nadu,2019-11,25.396666666666665,40.873666666666665,9015.30732315144,23.9,17.92
Chennai,Tamil Nadu,2019-12,24.399677419354838,43.648387096774194,8862.604147313326,17.47,13.1
Chennai,Tamil Nadu,2020-01,24.931290322580644,46.12935483870968,8774.20452175867,18.1,13.58
Chennai,Tamil Nadu,2020-02,26.29758620689655,41.75482758620689,8910.295771844223,26.79,20.1
Chennai,Tamil Nadu,2020-03,27.86935483870968,43.77225806451613,9147.900932316023,34.2,25.65
Chennai,Tamil Nadu,2020-04,30.602666666666668,44.324333333333335,8675.521535811713,50.18,37.63
Chennai,Tamil Nadu,2020-05,32.03645161290323,46.55870967741935,8929.663300491322,63.09,47.32
Chennai,Tamil Nadu,2020-06,32.454,61.69766666666667,8883.920721599743,67.98,50.98
Chennai,Tamil Nadu,2020-07,32.4158064516129,74.87612903225806,9330.333851367384,65.5,49.12
Chennai,Tamil Nadu,2020-08,30.358709677419355,73.61967741935484,8652.24696783531,48.64,36.48
Chennai,Tamil Nadu,2020-09,28.427666666666667,63.184999999999995,9018.85263286302,37.01,27.76
Chennai,Tamil Nadu,2020-10,26.301935483870967,46.99516129032258,8998.315205773191,29.31,21.98
Chennai,Tamil Nadu,2020-11,25.121333333333332,43.99033333333333,9211.259473138565,19.84,14.88
Chennai,Tamil Nadu,2020-12,24.882,45.995666666666665,9218.232189945906,18.82,14.11
Dehradun,Uttarakhand,2019-01,17.81483870967742,43.947741935483876,149.4590410474862,1.77,1.33
Dehradun,Uttarakhand,2019-02,18.54678571428571,43.67357142857143,147.48692380338548,1.0,0.75
Dehradun,Uttarakhand,2019-03,20.31032258064516,42.57612903225806,148.7676136066171,2.54,1.9
Dehradun,Uttarakhand,2019-04,22.279999999999998,45.11666666666667,154.47395598923654,1.0,0.75
Dehradun,Uttarakhand,2019-05,24.335483870967742,47.5658064516129,149.20114533035914,1.0,0.75
Dehradun,Uttarakhand,2019-06,25.351333333333333,65.342,150.92370625292162,7.11,5.33
Dehradun,Uttarakhand,2019-07,24.514193548387095,77.06322580645161,149.30811912368475,1.0,0.75
Dehradun,Uttarakhand,2019-08,22.767419354838708,73.43709677419355,148.80597502868753,1.45,1.09
Dehradun,Uttarakhand,2019-09,21.465666666666667,59.01833333333333,150.7915480699706,1.0,0.75
Dehradun,Uttarakhand,2019-10,19.364516129032257,48.12935483870968,152.76365300234417,2.55,1.92
Dehradun,Uttarakhand,2019-11,17.830666666666666,42.31733333333333,145.09788479745973,1.0,0.75
Dehradun,Uttarakhand,2019-12,16.726774193548387,41.809677419354834,153.94444123319872,3.05,2.28
Dehradun,Uttarakhand,2020-01,16.95387096774194,46.91967741935484,148.7697604166734,1.33,1.0
Dehradun,Uttarakhand,2020-02,19.23758620689655,41.43241379310345,147.14171717913044,1.0,0.75
Dehradun,Uttarakhand,2020-03,20.293870967741935,46.491290322580646,151.6311001002106,1.24,0.93
Dehradun,Uttarakhand,2020-04,22.57133333333333,45.4,153.62826732816958,1.0,0.75
Dehradun,Uttarakhand,2020-05,24.15258064516129,48.02322580645161,147.0462818511648,1.0,0.75
Dehradun,Uttarakhand,2020-06,25.252333333333336,65.12666666666667,154.52933489033526,7.23,5.42
Dehradun,Uttarakhand,2020-07,24.697741935483872,73.57645161290323,151.6499735723597,2.06,1.54
Dehradun,Uttarakhand,2020-08,22.910967741935483,72.19516129032259,149.66631154969423,5.06,3.8
Dehradun,Uttarakhand,2020-09,21.187333333333335,63.45166666666667,151.88585700458916,1.0,0.75
Dehradun,Uttarakhand,2020-10,19.09774193548387,46.493870967741934,145.38153054799423,1.0,0.75
Dehradun,Uttarakhand,2020-11,17.65266666666667,44.14066666666667,153.28349017673833,1.0,0.75
Dehradun,Uttarakhand,2020-12,17.451,45.657000000000004,147.22183444022878,3.81,2.86
Guwahati,Assam,2019-01,20.764193548387095,45.248709677419356,802.3924687428909,1.0,0.75
Guwahati,Assam,2019-02,22.506428571428575,43.15571428571428,811.9481143960314,1.0,0.75
Guwahati,Assam,2019-03,24.01451612903226,40.04032258064516,796.8685548950526,4.91,3.68
Guwahati,Assam,2019-04,26.050666666666665,44.80533333333334,812.7131869538614,8.74,6.55
Guwahati,Assam,2019-05,28.01516129032258,47.6341935483871,808.6854259530085,18.88,14.16
Guwahati,Assam,2019-06,27.851666666666667,63.54,805.1046834884538,20.38,15.28
Guwahati,Assam,2019-07,28.017096774193547,76.8967741935484,824.4561646217284,19.85,14.88
Guwahati,Assam,2019-08,26.94193548387097,70.69193548387096,801.7605891003387,14.45,10.84
Guwahati,Assam,2019-09,24.56866666666667,60.26533333333334,792.6796923306397,3.21,2.41
Guwahati,Assam,2019-10,23.08645161290323,49.43387096774194,786.7460119100297,1.0,0.75
Guwahati,Assam,2019-11,21.430666666666664,45.207,801.751613568742,1.0,0.75
Guwahati,Assam,2019-12,20.66516129032258,42.61096774193548,806.9871249438968,3.19,2.39
Guwahati,Assam,2020-01,21.081612903225807,47.028387096774196,804.0110005611814,2.3,1.73
Guwahati,Assam,2020-02,22.638275862068966,43.60793103448276,792.6531657918952,1.11,0.83
Guwahati,Assam,2020-03,23.94,44.99161290322581,822.6042820321816,1.0,0.75
Guwahati,Assam,2020-04,26.317999999999998,44.67366666666667,813.2910865245468,9.07,6.8
Guwahati,Assam,2020-05,27.92774193548387,48.108709677419355,808.5037534865922,19.02,14.27
Guwahati,Assam,2020-06,28.274,61.54866666666667,800.5247447483333,23.83,17.87
Guwahati,Assam,2020-07,28.517096774193547,76.28645161290324,790.3047609954241,23.76,17.82
Guwahati,Assam,2020-08,26.918064516129032,71.74741935483871,822.1470880736489,17.22,12.91
Guwahati,Assam,2020-09,24.679,59.294333333333334,798.5509970709694,1.0,0.75
Guwahati,Assam,2020-10,22.603548387096776,48.25354838709677,793.2381460446796,1.0,0.75
Guwahati,Assam,2020-11,21.030666666666665,47.43,832.379499328825,1.98,1.49
Guwahati,Assam,2020-12,20.395333333333333,46.98233333333334,816.9325181519175,1.0,0.75
Hyderabad,Telangana,2019-01,22.384838709677418,45.28645161290323,8869.090694972025,17.68,13.26
Hyderabad,Telangana,2019-02,24.60892857142857,46.013214285714284,8990.711487304141,20.28,15.21
Hyderabad,Telangana,2019-03,26.034193548387094,45.25677419354839,9088.72215382737,26.63,19.97
Hyderabad,Telangana,2019-04,28.204333333333334,43.90833333333333,9284.156558552473,39.73,29.8
Hyderabad,Telangana,2019-05,29.944193548387098,47.67774193548387,9297.006168754475,45.52,34.14
Hyderabad,Telangana,2019-06,30.616666666666667,65.25166666666667,8958.375056445971,50.36,37.77
Hyderabad,Telangana,2019-07,29.88774193548387,75.15096774193547,8900.309400103404,47.35,35.51
Hyderabad,Telangana,2019-08,28.519354838709678,71.75387096774193,9069.442329710111,39.71,29.79
Hyderabad,Telangana,2019-09,26.720000000000002,61.45366666666666,8816.702630129115,26.5,19.88
Hyderabad,Telangana,2019-10,25.324516129032258,45.594193548387096,8815.856743193337,20.49,15.37
Hyderabad,Telangana,2019-11,23.081,44.419,8679.832058022308,16.4,12.3
Hyderabad,Telangana,2019-12,22.272903225806452,45.038387096774194,8896.872370767704,19.17,14.38
Hyderabad,Telangana,2020-01,23.27064516129032,45.163225806451614,8878.320045969884,18.42,13.81
Hyderabad,Telangana,2020-02,24.20034482758621,41.538275862068964,9033.832701977935,20.26,15.2
Hyderabad,Telangana,2020-03,26.37451612903226,41.722580645161294,8851.51780185277,27.57,20.68
Hyderabad,Telangana,2020-04,27.677333333333333,45.557,9068.967147954801,39.79,29.85
Hyderabad,Telangana,2020-05,29.813225806451616,48.211612903225806,9044.300324370402,47.0,35.25
Hyderabad,Telangana,2020-06,30.216666666666665,62.514,8982.295076662698,50.25,37.69
Hyderabad,Telangana,2020-07,29.990967741935485,77.5241935483871,8921.108024657888,48.78,36.59
